Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_China,Country_Colombia,Country_Croatia,Country_Czechia,Country_Denmark,Country_Ecuador,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Uruguay,Country_nan
Jason Maguire-Davison,27,73,Balanced,3401,28.0,2037-06-30,30000.0,14.0,Türkiye (Super League),Turkish Super League,2033-05-13,11.25,13,13,17,14,11,12,14,10,15,8,13,12,11,14,13,16,15,12,14,12,13,12,12,14,14,13,10,10,3,7,7,5,12,12,12,10,,6.90,3 (3),Not set,- - -,6,0,Türkiye,907.0,25.351813826146476,1.648186173853525,3.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Owen Davies,26,67,Mercenary,2937,2.25,2035-06-30,7250.0,2.1,England (Sky Bet League One),Sky Bet League One,2033-07-05,1.8,15,10,7,17,10,8,13,8,13,5,9,13,9,14,15,16,6,11,12,12,14,13,5,15,11,14,10,7,1,5,5,4,14,11,6,7,,6.79,31,Not set,- - -,31,0,England,176.0,24.496919917864478,1.5030800821355237,2.0,433.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jovan Mijatović,29,72,Balanced,5181,7.199999999999999,2036-12-31,24000.0,7.0,U.S.A. (MLS),Major League Soccer,2032-12-13,7.0,12,14,11,14,11,13,14,9,15,12,9,14,12,11,14,14,13,13,13,12,14,13,12,13,13,13,12,13,8,6,7,8,16,11,8,12,Wnt,-,-,Not set,- - -,0,0,U.S.A.,726.0,26.93839835728953,2.0616016427104724,3.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Predrag Stevanović,21,73,Driven,7302,214.0,2038-06-30,130000.0,6.75,Italy (Serie A),Italian Serie A,2034-01-16,6.75,12,16,10,18,13,15,16,11,18,10,10,12,13,20,16,18,16,15,15,14,12,15,10,14,18,18,17,14,8,7,9,3,17,10,17,11,,7.08,20 (2),Not set,- - -,22,0,Italy,1272.0,20.030800821355236,0.9691991786447639,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stephen Murray,24,70,Resolute,2725,0.6050000000000001,2037-06-30,6500.0,0.65,England (Sky Bet League One),Sky Bet League One,2033-02-04,0.65,10,12,9,12,7,8,13,15,14,8,8,9,10,15,16,13,6,14,15,13,14,15,4,14,9,13,9,8,5,2,3,1,12,12,5,11,Inj,6.89,13 (12),Not set,- - -,25,0,England,907.0,22.083504449007528,1.9164955509924708,4.0,433.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kees Willemse,24,74,Professional,3033,2.9,2037-06-30,7000.0,,Netherlands (Eredivisie),Eredivisie,2034-07-01,1.5,11,12,8,12,6,13,16,4,11,4,9,9,10,15,17,15,13,14,14,12,14,13,6,13,9,15,8,7,3,4,5,1,15,12,5,9,,7.04,20,Not set,- - -,20,0,Netherlands,907.0,23.485284052019164,0.5147159479808351,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stanislav Chalakov,21,74,Professional,5324,65.5,2038-06-30,38000.0,3.2,England (Premier Division),English Premier Division,2034-06-27,2.2,10,14,10,15,9,13,20,4,16,7,12,15,14,17,15,13,16,13,16,13,9,12,9,13,14,16,12,17,5,4,12,9,17,16,13,14,Inj,7.13,0 (3),Not set,- - -,3,0,England,1272.0,20.474332648870636,0.5256673511293635,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rodrigo,22,71,Resolute,3719,9.65,2037-12-31,11250.0,3.3,Brazil (Second Division),Brazilian National Second Division,2034-01-21,3.3,7,12,9,13,9,14,14,8,16,9,12,11,8,16,16,17,10,13,12,12,15,14,10,14,13,13,13,11,5,6,9,4,16,14,11,10,Unh,-,-,Not set,- - -,0,0,Brazil,1091.0,21.044490075290895,0.9555099247091033,4.0,446.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jeferson Abrantes,23,75,Resolute,3708,7.1,2036-12-31,4400.0,2.0,Brazil (First Division),Brazilian National First Division,2032-09-02,1.6,10,14,8,14,6,13,15,3,13,3,7,11,9,15,15,12,15,16,16,12,13,13,4,13,14,13,12,11,1,2,4,1,15,14,7,7,Wnt,-,-,Not set,- - -,0,0,Brazil,726.0,20.659137577002053,2.3408624229979464,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Erjon Begaj,23,71,Spirited,2387,0.07700000000000001,2035-06-30,2400.0,0.275,Germany (Bundesliga 2),Bundesliga 2,2033-05-24,0.8,5,10,8,10,4,12,15,5,13,4,6,11,10,10,13,11,11,13,12,9,10,13,5,12,7,12,5,9,1,1,4,3,16,10,7,9,Wnt,-,-,Not set,- - -,0,0,Germany,176.0,21.38193018480493,1.6180698151950719,4.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nehuén Sempere,26,70,Spirited,3468,1.7750000000000001,2035-12-31,12500.0,3.4,Argentina (Premier Division),Argentine Premier Division,2032-01-16,2.8,11,12,8,15,9,13,14,3,13,6,8,11,11,15,14,12,4,13,14,11,13,15,10,13,15,12,9,9,5,5,10,7,13,13,9,12,,-,-,Not set,- - -,0,0,Argentina,360.0,23.02943189596167,2.97056810403833,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alexis Bruno,23,69,Fairly Professional,3131,2.725,2038-12-31,8750.0,1.0,Brazil (First Division),Brazilian National First Division,2034-09-02,0.85,16,12,8,12,8,13,15,5,15,7,5,10,11,14,18,15,9,15,12,10,13,13,7,17,10,16,10,10,3,5,4,2,16,12,7,12,,-,-,Not set,- - -,0,0,Brazil,1456.0,22.65776865160849,0.34223134839151265,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sérgio,25,72,Realist,3565,3.675,2038-12-31,9750.0,0.75,Brazil (First Division),Brazilian National First Division,2032-11-13,0.625,11,13,9,14,7,14,15,5,14,6,10,11,13,17,14,15,11,12,14,11,18,14,5,13,14,15,8,7,2,2,10,2,14,11,3,4,,-,-,Not set,- - -,0,0,Brazil,1456.0,22.856262833675565,2.1437371663244353,2.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lino Decresson,27,65,Balanced,3946,2.4000000000000004,2037-06-30,4900.0,1.0,France (Ligue 2 BKT),Ligue 2 BKT,2034-07-10,1.6,12,15,6,15,12,13,12,14,15,10,11,13,11,12,13,12,6,13,11,12,13,13,9,10,11,12,15,13,5,9,5,5,14,12,5,6,Inj,7.15,2 (2),Not set,- - -,4,0,France,907.0,26.509924709103355,0.49007529089664614,3.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Karlo Igor Plehan,27,72,Fairly Determined,5144,24.5,2038-06-30,8000.0,1.2,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-09-28,1.2,12,12,3,15,6,12,13,10,13,9,9,13,15,15,16,9,10,15,12,9,13,16,10,12,14,16,9,10,1,5,4,1,12,11,9,11,Inj,6.90,12 (1),Not set,- - -,13,0,Saudi Arabia,1272.0,25.729637234770706,1.270362765229295,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jefferson Boone,26,73,Spirited,4023,13.75,2038-06-30,27000.0,2.8,Belgium (Jupiler Pro League),Jupiler Pro League,2033-12-24,3.6,11,12,9,13,10,14,15,11,15,6,8,13,12,12,14,14,12,14,12,12,17,16,3,13,12,13,10,8,1,4,6,1,16,9,5,6,,6.98,20,Not set,- - -,20,0,Belgium,1272.0,24.967830253251197,1.0321697467488022,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Iker Aguirre,25,72,Light-Hearted,3506,3.25,2036-06-30,7500.0,2.1,Spain (Second Division),Spanish Second Division,2032-08-28,2.1,12,14,16,14,9,13,19,16,17,8,10,14,5,15,16,15,14,13,12,11,12,13,7,16,8,16,8,12,1,6,12,3,16,14,5,8,,6.79,16,Not set,- - -,16,0,Spain,542.0,22.645448323066393,2.3545516769336072,3.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Paris Brunner,28,73,Fairly Determined,5345,8.85,2037-06-30,28500.0,5.5,Netherlands (Eredivisie),Eredivisie,2033-03-06,15.5,12,12,7,14,10,11,15,11,15,7,8,11,10,15,15,13,13,15,12,12,14,15,6,14,14,14,12,10,3,4,6,3,14,10,11,11,Inj,6.85,2 (12),Not set,- - -,14,0,Netherlands,907.0,26.16563997262149,1.834360027378508,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Phil Walter,25,69,Fairly Determined,3502,4.8,2037-06-30,19000.0,2.3,Germany (Bundesliga),Bundesliga,2034-01-12,2.1,7,13,8,12,5,8,16,11,12,5,14,8,13,15,18,15,7,14,15,9,16,14,6,12,10,14,12,7,1,5,5,4,13,8,2,10,,6.76,5 (10),Not set,- - -,15,0,Germany,907.0,24.019849418206707,0.9801505817932923,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alexander Murillo,28,77,Balanced,4271,6.8999999999999995,2037-06-30,25000.0,1.4,Germany (Bundesliga),Bundesliga,2034-06-17,2.4,8,14,9,13,12,12,11,8,17,5,12,12,11,14,14,14,16,15,14,13,15,16,4,12,9,12,13,13,4,8,4,4,13,8,4,7,,6.83,4 (20),Not set,- - -,24,0,Germany,907.0,27.446954140999317,0.5530458590006845,3.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pablo Racero,26,72,Fairly Professional,3178,3.375,2037-06-30,9250.0,1.2,Spain (Second Division),Spanish Second Division,2034-12-25,1.1,10,12,6,11,9,12,13,12,13,7,12,11,10,10,16,16,14,15,14,10,15,16,5,12,8,12,8,7,1,6,5,4,13,10,3,9,,6.90,14 (6),Not set,- - -,20,0,Spain,907.0,25.969883641341546,0.030116358658453114,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Cristian Pappalardo,26,69,Resolute,4379,26.5,2037-06-30,66000.0,8.5,England (Premier Division),English Premier Division,2032-07-20,8.5,10,12,8,10,9,9,15,6,13,6,5,11,9,16,17,13,5,15,15,12,12,14,6,16,12,13,5,8,2,2,9,1,16,12,9,12,,6.59,1 (8),Not set,- - -,9,0,England,907.0,23.53867214236824,2.461327857631759,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Simone Natale,24,72,Resolute,4993,33.5,2037-06-30,85000.0,23.5,Germany (Bundesliga),Bundesliga,2032-08-27,21.0,7,14,8,15,7,12,15,3,16,10,15,12,11,15,14,13,15,13,16,13,12,15,7,13,14,14,15,8,1,5,6,5,16,11,9,12,Wnt,7.06,1 (7),Not set,- - -,8,0,Germany,907.0,21.642710472279262,2.3572895277207393,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jhonier Restrepo,25,70,Professional,4361,7.199999999999999,2037-12-31,20000.0,0.975,Argentina (Premier Division),Argentine Premier Division,2033-09-24,0.875,12,13,8,16,7,12,16,4,15,4,12,12,11,16,15,15,7,14,13,10,15,12,2,15,14,14,12,7,2,3,5,3,15,11,4,7,Inj,-,-,Not set,- - -,0,0,Argentina,1091.0,23.718685831622178,1.2813141683778233,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Álvaro Vázquez,26,69,Fairly Determined,3594,11.35,2038-06-30,24000.0,1.5,Spain (First Division),Spanish First Division,2033-12-25,1.4,9,16,8,12,8,13,14,17,15,5,10,11,13,15,18,14,4,15,13,11,16,14,10,15,9,10,8,11,1,3,6,2,12,13,3,15,,7.01,19,Not set,- - -,19,0,Spain,1272.0,24.97056810403833,1.0294318959616702,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Antoni,26,70,Fairly Determined,3289,3.6,2036-06-30,18250.0,3.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-07-23,2.9,11,15,12,17,8,14,16,13,16,7,12,14,10,15,13,15,7,13,13,13,12,13,9,14,12,15,11,7,1,6,16,3,15,12,3,8,Inj,6.72,2 (8),Not set,- - -,10,0,France,542.0,24.546201232032853,1.4537987679671458,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pep Gusó,25,69,Resolute,3845,12.25,2038-06-30,20500.0,6.75,Spain (First Division),Spanish First Division,2033-09-01,5.5,13,13,7,10,6,13,14,12,13,4,7,11,13,15,18,14,6,14,14,11,16,14,5,14,7,12,13,10,1,1,5,2,14,10,4,12,,7.03,18,Not set,- - -,18,0,Spain,1272.0,23.65571526351814,1.3442847364818618,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Alfred Aleu,23,71,Model Citizen,3978,17.0,2037-06-30,67000.0,30.0,Italy (Serie A),Italian Serie A,2032-02-02,30.0,11,14,9,16,11,14,18,10,16,14,11,16,10,15,16,13,13,13,13,13,15,14,10,15,11,17,12,12,4,7,14,4,16,15,10,11,Wnt,6.72,6 (11),Not set,- - -,17,0,Italy,907.0,20.075975359342916,2.924024640657084,0.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dylan Gros,23,69,Resolute,3052,0.99,2037-06-30,14500.0,,Portugal (Premier League),Portuguese Premier League,2033-07-29,0.5,6,10,8,13,5,8,14,10,11,4,12,7,12,16,16,15,2,13,16,9,14,16,4,12,12,15,5,4,1,1,3,1,13,9,6,9,,6.74,5 (12),Not set,- - -,17,0,Portugal,907.0,21.562628336755647,1.4373716632443532,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomás Salguero,22,65,Realist,3804,15.25,2038-12-31,21500.0,5.5,Argentina (Premier Division),Argentine Premier Division,2034-08-03,4.5,12,14,8,15,12,14,15,10,14,9,9,11,8,15,14,16,2,13,14,10,14,14,7,12,17,15,9,9,3,4,4,1,16,8,12,10,Inj,-,-,Not set,- - -,0,0,Argentina,1456.0,21.575633127994525,0.4243668720054757,2.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Volkan Özkan,26,72,Model Citizen,3645,5.45,2037-06-30,4900.0,1.3,Türkiye (Super League),Turkish Super League,2033-07-05,1.3,13,11,7,16,6,12,14,8,14,4,12,12,8,16,16,15,10,15,11,10,14,16,5,8,12,14,9,5,1,3,6,1,13,4,5,8,,6.72,10 (3),Not set,- - -,13,0,Türkiye,907.0,24.496919917864478,1.5030800821355237,0.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Euan Nicolson,26,72,Fairly Determined,3381,3.275,2039-06-30,24000.0,0.55,Spain (First Division),Spanish First Division,2034-08-04,1.5,15,14,8,10,12,11,10,14,13,9,12,11,15,16,14,17,12,17,14,10,14,14,4,13,14,15,12,9,3,7,4,5,11,8,8,11,,6.64,18,Not set,- - -,18,0,Spain,1637.0,25.578370978781656,0.4216290212183436,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Thierry Fidjeu-Tazemeta,27,70,Balanced,4296,0.46749999999999997,2036-06-30,8500.0,0.65,Austria (Premier Division),Austrian Premier Division,2033-07-24,0.65,5,10,10,11,4,13,13,15,14,5,6,9,8,11,16,12,4,14,13,14,12,15,6,14,14,13,13,15,1,2,1,4,12,8,1,8,,6.97,19 (4),Not set,- - -,23,0,Austria,542.0,25.548939082819984,1.4510609171800137,3.0,488.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hans Erik Olsen,26,72,Fickle,3129,0.7150000000000001,2036-06-30,12750.0,0.375,Spain (First Division),Spanish First Division,2033-07-11,1.1,12,10,10,16,9,12,15,6,14,8,6,9,9,15,12,12,14,13,13,12,17,15,7,13,9,14,10,8,1,5,8,3,16,9,5,7,Wnt,6.55,1 (3),Not set,- - -,4,0,Spain,542.0,24.51334702258727,1.486652977412731,2.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Alexis Fortuna,26,68,Fairly Professional,3060,1.045,2036-06-30,1600.0,0.7,Portugal (Premier League),Portuguese Premier League,2032-08-23,0.575,8,15,10,15,5,12,12,16,15,6,7,9,10,9,15,13,3,13,14,9,10,15,6,16,16,13,10,5,1,5,4,3,16,10,8,7,,6.93,1 (7),Not set,- - -,8,0,Portugal,542.0,23.631759069130734,2.3682409308692676,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lion Eichhammer,22,72,Driven,6143,40.0,2039-06-30,93000.0,11.0,Germany (Bundesliga),Bundesliga,2034-06-30,22.5,12,15,9,14,8,15,15,16,12,8,13,11,12,20,16,14,15,15,15,11,13,16,5,14,16,15,11,10,4,8,7,5,15,10,6,11,,7.10,21,Not set,- - -,21,0,Germany,1637.0,21.482546201232033,0.5174537987679672,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Niklas Wagner,20,74,Unambitious,2213,0.07100000000000001,2035-06-30,2200.0,2.1,Germany (Bundesliga 2),Bundesliga 2,2032-07-01,0.8,6,11,16,12,5,10,14,7,10,4,12,8,10,15,12,11,11,13,11,11,16,14,4,12,13,9,6,5,1,1,1,1,11,7,12,5,Loa,-,-,Not set,- - -,0,0,Germany,176.0,17.48665297741273,2.513347022587269,2.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Louis Diomandé,18,70,Fairly Determined,3224,2.65,2038-06-30,35500.0,4.0,Germany (Bundesliga),Bundesliga,2034-07-21,1.7,8,10,4,12,7,10,15,3,13,5,9,9,13,15,15,15,7,15,11,9,15,15,7,14,15,12,6,6,1,3,11,4,13,12,8,10,,-,-,Not set,- - -,0,0,Germany,1272.0,17.540041067761805,0.459958932238193,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Volker Hildebrandt,23,69,Perfectionist,3762,1.425,2035-06-30,33500.0,5.0,England (Premier Division),English Premier Division,2030-01-20,3.3,10,12,5,13,7,12,14,13,12,5,14,10,11,16,17,12,8,14,15,11,14,15,8,14,10,13,10,7,4,4,5,5,14,10,2,10,Loa,6.60,0 (2),Not set,- - -,2,0,England,176.0,18.041752224503764,4.958247775496235,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alvise Del Re,23,71,Resolute,3578,10.1,2038-06-30,28500.0,7.0,Belgium (Jupiler Pro League),Jupiler Pro League,2034-01-31,7.0,8,14,10,18,7,14,17,9,14,6,7,11,12,15,15,13,11,15,13,12,15,15,5,12,16,15,5,8,1,4,9,1,15,11,7,8,,6.78,17,Not set,- - -,17,0,Belgium,1272.0,22.071868583162217,0.9281314168377823,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jesper Andersen,21,76,Driven,4928,35.5,2039-06-30,68000.0,17.25,England (Premier Division),English Premier Division,2034-08-04,17.25,8,15,11,13,10,14,16,4,16,8,12,15,11,19,15,16,15,15,16,13,16,15,9,14,16,15,14,13,3,6,7,7,17,12,7,12,,6.95,2 (14),Not set,- - -,16,0,England,1637.0,20.578370978781656,0.4216290212183436,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Junior Kroupi,28,72,Resolute,9130,108.0,2037-06-30,185000.0,24.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-07-14,15.25,11,17,8,17,14,19,14,10,16,15,13,16,13,15,18,16,13,16,15,10,15,15,11,15,15,15,12,11,5,11,11,7,17,15,11,12,,7.27,22,Not set,- - -,22,0,France,907.0,25.522245037645447,2.4777549623545516,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
José Antonio Cid,26,78,Fairly Professional,3923,19.5,2039-06-30,59000.0,11.75,Italy (Serie B),Italian Serie B,2034-06-30,11.75,11,15,10,15,7,13,16,10,16,9,9,10,12,12,15,14,17,15,12,11,12,13,8,13,16,15,11,6,1,5,11,1,14,10,5,6,,7.04,18,Not set,- - -,18,0,Italy,1637.0,25.482546201232033,0.5174537987679672,4.0,462.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Julian Rijkhoff,29,72,Resolute,3536,8.0,2037-06-30,9500.0,,Portugal (Premier League),Portuguese Premier League,2034-07-01,4.3,8,13,12,13,12,12,13,5,14,6,10,12,11,15,14,10,13,13,13,12,15,12,5,10,13,13,12,10,5,2,8,2,13,11,15,8,,6.86,14,Not set,- - -,14,0,Portugal,907.0,28.485284052019164,0.5147159479808351,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cédric Aymar,25,69,Balanced,2317,0.085,2035-06-30,160.0,,France (National 2 - C),French National 2 - C,2034-06-25,2.2,15,9,9,11,8,10,11,13,12,4,6,9,7,13,12,11,4,13,12,7,10,12,7,10,8,9,9,7,1,1,3,2,10,10,3,5,Lst,6.90,0 (2),Listed,- - -,2,1,France,176.0,24.468856947296374,0.5311430527036276,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
