Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_DR Congo,Country_Denmark,Country_England,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Tommy Doyle,33,68,Resolute,6053,4.075,2035-06-30,54000.0,24.5,Türkiye (Super League),Turkish Super League,2033-04-06,26.0,13,14,14,15,13,13,12,15,13,14,12,16,14,16,13,13,8,13,13,11,14,13,14,10,11,14,7,11,5,11,12,13,15,14,12,14,Wnt,7.29,21 (3),Not set,- - -,24,0,Türkiye,176.0,31.250513347022586,1.7494866529774127,4.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Antoan Stoyanov,29,72,Balanced,6051,2.7375000000000003,2035-06-30,9500.0,1.3,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2030-09-01,1.3,12,14,9,11,13,13,7,15,13,15,12,15,12,14,13,13,14,12,13,15,14,11,6,11,6,12,9,13,5,13,6,12,12,14,4,5,,6.86,13,Not set,- - -,13,0,France,176.0,24.655030800821354,4.344969199178645,3.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rocco Reitz,32,69,Perfectionist,6036,,2036-06-30,35500.0,2.1,Germany (Bundesliga),Bundesliga,2034-07-26,1.8,16,13,16,12,14,12,14,11,13,12,15,15,17,16,13,12,6,13,16,12,15,14,12,11,10,13,7,11,6,12,10,13,13,13,9,10,,7.24,22,Not set,- - -,22,0,Germany,542.0,31.55373032169747,0.4462696783025325,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jakub Takac,25,72,Light-Hearted,6023,14.25,2036-06-30,14500.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-07-01,5.5,8,13,16,12,11,16,7,9,10,12,14,17,14,15,13,12,13,13,14,12,15,11,6,9,4,15,11,10,4,7,8,11,15,13,7,8,Wnt,7.16,17,Not set,- - -,17,0,France,542.0,23.48596851471595,1.514031485284052,3.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maurício,33,69,Balanced,6019,0.07700000000000001,2035-06-30,27000.0,1.5,France (Ligue 2 BKT),Ligue 2 BKT,2033-08-19,13.25,10,12,11,12,12,12,14,8,14,8,13,12,13,12,10,11,7,11,8,6,13,11,12,12,12,14,7,12,6,7,11,7,14,13,9,11,,-,-,Not set,- - -,0,0,France,176.0,31.62012320328542,1.379876796714579,3.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Myles Peart-Harris,32,74,Fairly Determined,6018,,2036-06-30,11500.0,,England (Sky Bet League One),Sky Bet League One,2034-12-02,1.6,11,12,12,15,12,12,14,7,12,8,10,14,8,15,10,12,14,12,12,12,13,12,10,10,11,12,9,11,5,6,9,7,14,13,9,9,,7.17,28,Not set,- - -,28,0,England,542.0,31.906913073237508,0.09308692676249145,4.0,433.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Famana Quizera,32,68,Balanced,5999,9.8,2036-06-30,39000.0,15.5,Belgium (Jupiler Pro League),Jupiler Pro League,2034-06-02,33.0,13,14,12,14,12,13,15,6,13,11,12,15,12,13,11,11,5,11,12,9,13,11,12,11,11,13,5,13,3,10,12,10,14,15,11,9,Wnt,6.98,1 (13),Listed,- - -,14,1,Belgium,542.0,31.405886379192335,0.5941136208076659,3.0,491.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hector Kyprianou,33,75,Fairly Professional,5991,3.625,2036-06-30,10750.0,12.5,Cyprus (First Division),Cypriot First Division,2034-07-21,10.5,10,12,12,14,11,12,14,13,12,13,15,10,14,14,10,12,14,9,11,11,13,8,8,9,10,13,11,10,8,12,7,12,13,15,5,9,Inj,6.69,19 (5),Not set,- - -,24,0,Cyprus,542.0,32.540041067761805,0.459958932238193,4.0,477.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Gomes,33,68,Spirited,5988,,2036-12-31,66000.0,,Brazil (First Division),Brazilian National First Division,2034-12-21,40.0,16,15,16,16,15,14,13,11,15,16,15,15,16,16,12,12,10,12,13,11,16,12,11,12,10,14,10,12,11,15,7,15,14,14,12,11,,-,-,Not set,- - -,0,0,Brazil,726.0,32.95893223819302,0.04106776180698152,4.0,493.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Romano Schmid,34,66,Fairly Determined,5986,1.6500000000000001,2036-06-30,27000.0,7.0,Austria (Premier Division),Austrian Premier Division,2034-04-08,9.5,16,13,11,12,10,12,15,10,12,11,12,11,13,15,12,7,4,11,8,5,13,10,10,11,9,14,4,10,6,8,14,10,14,13,10,12,,6.73,17 (2),Not set,- - -,19,0,Austria,542.0,33.25530458590007,0.7446954140999316,4.0,488.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordan James,30,70,Resolute,5980,18.25,2036-06-30,46000.0,0.4,England (Sky Bet Championship),Sky Bet Championship,2033-02-01,9.75,12,14,13,13,13,14,11,13,13,12,12,14,15,15,13,14,9,13,12,12,12,12,6,10,11,13,9,12,7,11,7,11,13,13,6,8,,6.91,25,Not set,- - -,25,0,England,542.0,28.075290896646134,1.9247091033538672,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nicolas Raskin,33,70,Balanced,5976,2.06,2036-05-31,29000.0,1.3,Scotland (cinch Premiership),cinch Premiership,2033-12-02,1.5,16,17,16,13,13,14,15,11,13,9,12,16,14,12,8,9,8,11,7,8,13,8,13,12,8,15,6,10,6,11,13,15,15,16,12,11,,7.21,8 (6),Not set,- - -,14,0,Scotland,512.0,31.907597535934293,1.0924024640657084,3.0,486.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Kamil Rajnoch,19,71,Fairly Professional,5974,16.25,2038-06-30,21500.0,8.0,Germany (Bundesliga 2),Bundesliga 2,2034-01-31,8.25,11,13,18,10,12,16,6,7,7,14,14,13,17,13,11,9,12,12,13,12,14,13,6,9,4,12,7,8,3,12,4,14,15,10,6,10,,6.87,16,Not set,- - -,16,0,Germany,1272.0,18.071868583162217,0.9281314168377823,4.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mattias Svanberg,36,73,Balanced,5957,0.022,2035-06-30,5500.0,,Switzerland (Super League),Swiss Super League,2034-07-01,11.75,14,12,13,13,11,13,14,7,13,12,11,14,12,14,6,12,12,11,9,7,15,8,13,8,10,14,10,13,3,10,12,12,14,12,10,11,Ret,6.33,22 (1),Not set,- - -,23,0,Switzerland,176.0,35.48528405201917,0.5147159479808351,3.0,482.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Yacine Adli,34,73,Fairly Determined,5949,1.905,2035-06-30,140000.0,3.4,Saudi Arabia (First Division),Saudi First Division League,2033-06-28,16.0,12,12,15,15,13,15,13,12,12,13,15,15,12,15,10,14,11,9,11,9,15,10,15,10,10,15,8,12,7,12,11,14,14,15,13,10,Wnt,7.33,28 (1),Not set,- - -,29,0,Saudi Arabia,176.0,32.47775496235455,1.5222450376454484,4.0,387.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Aldo Florenzi,32,66,Resolute,5946,19.0,2036-06-30,60000.0,18.25,Saudi Arabia (Saudi Pro League),Saudi Professional League,2032-07-09,15.0,12,13,12,15,11,13,14,12,15,14,12,15,14,15,13,12,10,14,12,11,14,14,11,10,11,15,9,12,10,11,7,10,15,15,9,13,,7.03,21 (3),Not set,- - -,24,0,Saudi Arabia,542.0,29.508555783709788,2.4914442162902124,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Adrian Biasoli,25,70,Model Citizen,5942,42.5,2037-06-30,74000.0,5.75,England (Premier Division),English Premier Division,2032-12-18,5.75,7,14,9,13,14,17,11,11,13,12,14,13,13,15,16,13,7,14,18,13,15,14,5,11,8,14,8,10,6,13,7,12,17,14,7,11,,6.65,3 (18),Not set,- - -,21,0,England,907.0,22.95208761122519,2.0479123887748116,0.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mohlolo Benjamin,22,69,Resolute,5941,92.5,2038-06-30,96000.0,25.5,England (Premier Division),English Premier Division,2033-08-03,22.5,10,15,7,14,11,14,14,17,16,9,15,16,13,16,14,18,6,14,15,16,12,14,9,13,10,17,11,13,4,10,9,10,17,16,9,9,,7.03,17 (5),Not set,- - -,22,0,England,1272.0,20.576317590691307,1.4236824093086926,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Iván,26,70,Resolute,5941,55.5,2037-06-30,57000.0,22.0,Italy (Serie A),Italian Serie A,2033-07-01,34.0,11,15,18,14,15,18,10,9,15,13,16,17,14,16,12,18,7,13,13,13,13,12,6,12,7,15,7,11,3,12,6,9,15,15,8,7,,6.92,15 (3),Not set,- - -,18,0,Italy,907.0,24.48596851471595,1.514031485284052,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno Gomes,33,69,Balanced,5926,0.7150000000000001,2035-12-31,10750.0,2.0,Brazil (Second Division),Brazilian National Second Division,2034-03-07,7.0,12,13,14,12,13,13,13,10,12,13,12,13,13,13,11,11,7,10,11,10,13,10,7,9,10,11,10,11,7,13,9,13,13,12,11,7,,-,-,Not set,- - -,0,0,Brazil,360.0,32.167693360711844,0.8323066392881588,3.0,446.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marco Brescianini,34,74,Resolute,5925,0.02,2035-06-30,26500.0,7.5,Italy (Serie A),Italian Serie A,2034-05-17,7.5,10,12,11,12,11,13,12,13,13,13,12,13,13,15,10,13,13,11,10,9,16,9,4,10,11,13,9,12,7,11,11,12,13,14,12,8,Lst,6.60,0 (1),Listed,- - -,1,1,Italy,176.0,33.36208076659822,0.6379192334017796,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tahith Chong,35,73,Resolute,5917,0.475,2035-12-31,21500.0,1.1,U.S.A. (MLS),Major League Soccer,2032-12-31,31.0,12,13,10,11,10,11,17,5,14,7,10,14,12,15,11,11,13,11,7,5,17,13,11,11,11,15,5,10,4,4,14,8,13,13,10,13,Inj,-,-,Not set,- - -,0,0,U.S.A.,360.0,32.987679671457904,2.0123203285420943,4.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Oliver Arblaster,30,69,Fairly Professional,5913,9.65,2035-06-30,46000.0,19.25,France (Ligue 2 BKT),Ligue 2 BKT,2030-06-30,29.0,11,15,10,15,15,15,13,14,14,13,12,16,13,14,15,13,6,13,13,11,12,13,4,12,7,13,8,8,4,11,6,12,14,16,9,10,Wnt,7.29,14,Not set,- - -,14,0,France,176.0,25.482546201232033,4.517453798767967,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dariusz Wróblewski,26,70,Light-Hearted,5907,69.0,2038-06-30,110000.0,3.2,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-06-07,3.1,16,17,11,15,11,13,15,13,16,10,10,17,13,15,15,15,6,13,14,15,11,14,9,11,13,16,8,12,3,10,14,9,16,16,14,8,,7.02,18,Not set,- - -,18,0,France,1272.0,25.419575633127995,0.5804243668720055,3.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tanner Tessmann,33,76,Balanced,5889,,2036-12-31,29000.0,4.9,U.S.A. (MLS),Major League Soccer,2035-01-04,6.25,14,13,14,13,13,13,12,11,14,13,12,14,13,13,10,13,14,10,12,13,14,10,6,11,10,13,10,12,7,14,11,13,13,14,12,10,,-,-,Not set,- - -,0,0,U.S.A.,726.0,32.997262149212865,0.0027378507871321013,3.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ilaix Moriba,31,73,Fairly Determined,5888,2.8,2036-06-30,27500.0,,Italy (Serie A),Italian Serie A,2033-07-11,14.0,16,11,15,12,10,12,15,8,12,10,11,13,12,15,12,12,12,11,12,11,11,11,12,11,8,13,10,13,4,8,12,12,14,12,8,8,Lst,6.50,1 (10),Listed,- - -,11,1,Italy,542.0,29.51334702258727,1.486652977412731,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Juan Sforza,32,70,Balanced,5885,,2036-06-30,88000.0,5.75,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-02-01,4.6,14,13,12,15,12,15,15,14,14,14,14,16,12,14,14,13,5,14,12,12,14,13,7,10,11,16,6,13,4,6,12,8,14,15,7,7,,6.80,5 (2),Not set,- - -,7,0,France,542.0,31.07460643394935,0.9253935660506503,3.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matchoi Djaló,31,69,Balanced,5881,1.2100000000000002,2035-06-30,7250.0,0.625,Spain (Second Division),Spanish Second Division,2032-07-28,1.3,14,12,13,14,11,9,14,7,12,10,7,14,10,13,14,8,3,15,11,7,15,13,11,12,9,12,5,10,3,4,10,2,15,11,10,9,,6.99,20,Not set,- - -,20,0,Spain,176.0,28.560574948665298,2.439425051334702,3.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Damián Bolzoni,26,71,Professional,5880,16.25,2036-12-31,67000.0,5.75,Brazil (First Division),Brazilian National First Division,2032-01-22,5.75,10,13,7,16,11,14,16,18,15,12,12,17,12,13,15,14,11,13,15,12,16,12,8,12,12,13,8,12,11,10,13,8,17,13,6,9,Wnt,-,-,Not set,- - -,0,0,Brazil,726.0,23.045859000684462,2.954140999315537,4.0,493.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jens Castrop,31,70,Perfectionist,5879,2.415,2035-06-30,41500.0,9.75,Germany (Bundesliga),Bundesliga,2031-08-06,8.25,16,12,16,11,15,11,13,9,12,12,15,12,15,16,15,11,7,14,14,11,14,14,6,11,7,12,7,8,9,12,9,14,11,11,6,8,,6.81,16 (6),Not set,- - -,22,0,Germany,176.0,27.583162217659137,3.4168377823408624,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nicolò Fagioli,33,70,Fairly Determined,5869,0.16,2035-06-30,62000.0,15.75,Netherlands (Eredivisie),Eredivisie,2033-01-25,21.5,15,13,14,14,13,13,16,10,15,12,14,14,13,15,12,11,8,9,7,7,15,10,11,11,12,15,7,14,5,10,11,12,16,15,12,13,Lst,6.52,0 (13),Listed,- - -,13,1,Netherlands,176.0,31.05612594113621,1.943874058863792,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Praxedes,32,73,Balanced,5869,5.8,2035-12-31,42500.0,1.6,Brazil (First Division),Brazilian National First Division,2032-12-17,9.5,10,14,13,14,11,12,13,9,14,12,13,14,11,11,11,13,13,10,12,11,14,11,8,11,9,13,11,13,8,12,8,11,14,15,10,10,,-,-,Not set,- - -,0,0,Brazil,360.0,29.949349760438057,2.0506502395619437,3.0,493.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dan Brown,27,72,Fairly Determined,5863,2.275,2036-06-30,27500.0,1.5,England (Sky Bet Championship),Sky Bet Championship,2034-01-31,1.0,14,14,17,9,13,13,9,11,8,13,10,15,13,15,13,14,13,13,14,13,14,12,5,6,7,12,14,8,1,12,7,13,14,11,6,6,,6.73,3 (23),Not set,- - -,26,0,England,542.0,26.071868583162217,0.9281314168377823,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lee Hyun-Ju,31,68,Fairly Professional,5853,0.6599999999999999,2035-06-30,17250.0,1.6,Germany (Bundesliga 2),Bundesliga 2,2033-02-07,1.3,8,12,10,14,10,10,13,9,12,8,12,13,11,14,16,10,4,12,13,7,13,13,11,12,10,13,5,10,5,8,10,8,13,15,12,10,Int,6.88,16,Not set,- - -,16,0,Germany,176.0,29.091718001368925,1.9082819986310746,4.0,464.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Giovanni Bogado,33,70,Balanced,5848,0.088,2035-12-31,3300.0,1.1,Brazil (Second Division),Brazilian National Second Division,2033-08-27,6.75,7,12,11,14,8,11,14,10,12,8,12,14,10,8,11,11,8,9,8,8,8,11,9,8,8,13,10,10,6,6,10,7,13,13,10,7,,-,-,Not set,- - -,0,0,Brazil,360.0,31.642026009582477,1.3579739904175223,3.0,446.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eniss Shabani,31,71,Fairly Determined,5838,1.155,2035-06-30,9750.0,2.1,Spain (Second Division),Spanish Second Division,2033-03-29,1.9,14,12,12,13,12,12,13,7,13,12,12,14,12,15,14,14,12,12,13,12,14,13,11,10,6,12,8,11,3,11,10,12,14,13,7,9,Wnt,6.84,16,Not set,- - -,16,0,Spain,176.0,29.22861054072553,1.7713894592744694,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Carlos Dotor,33,71,Balanced,5830,0.05,2035-06-30,1800.0,,Spain (Second Division),Spanish Second Division,2033-12-26,7.25,10,13,8,14,12,13,12,11,14,12,12,13,14,12,9,10,9,7,7,5,12,7,11,6,13,13,9,13,10,9,10,10,13,13,12,10,,6.69,7 (13),Not set,- - -,20,0,Spain,176.0,31.973305954825463,1.0266940451745379,3.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Kacper Kozłowski,31,72,Resilient,5826,,2037-06-30,73000.0,2.7,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-10-03,18.25,7,13,14,13,12,12,13,13,12,6,9,15,12,16,13,13,12,12,12,12,10,12,7,12,10,13,8,13,5,8,9,10,13,15,12,12,,7.17,26,Not set,- - -,26,0,Saudi Arabia,907.0,30.742642026009584,0.25735797399041754,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Hugo,26,68,Resolute,5825,39.0,2037-06-30,80000.0,12.5,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-09-12,12.5,14,16,14,15,10,16,13,6,15,12,11,15,12,15,15,15,6,14,16,15,12,14,13,14,8,12,10,13,4,7,11,12,14,11,2,10,,6.86,7 (15),Not set,- - -,22,0,France,907.0,23.686516084873375,2.3134839151266258,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dylan Luque,28,72,Fairly Determined,5814,3.85,2036-12-31,15000.0,1.9,U.S.A. (MLS),Major League Soccer,2034-05-02,1.6,15,13,9,13,11,11,8,7,11,10,9,13,13,16,13,12,10,13,12,10,10,14,4,11,7,11,8,12,1,11,4,14,15,15,1,6,,-,-,Not set,- - -,0,0,U.S.A.,726.0,27.32101300479124,0.6789869952087612,4.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Josip Roškar,22,70,Resolute,5804,48.5,2036-06-30,78000.0,1.2,France (Ligue 2 BKT),Ligue 2 BKT,2032-09-09,1.8,14,14,7,13,10,16,6,10,13,15,14,15,12,15,13,12,6,13,14,10,14,15,8,10,8,14,15,10,5,12,8,12,14,13,5,5,Inj,6.88,11,Not set,- - -,11,0,France,542.0,19.678302532511978,2.321697467488022,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabriele Piccinini,33,72,Fairly Determined,5801,,2036-06-30,130000.0,11.25,Qatar (Stars League),Qatar Stars League,2034-07-24,13.25,12,15,12,14,12,13,12,11,14,12,14,14,14,15,13,13,12,12,12,11,14,11,10,12,11,14,10,12,6,11,8,12,13,14,9,13,,7.09,24 (2),Not set,- - -,26,0,Qatar,542.0,32.5482546201232,0.4517453798767967,4.0,472.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Jack Hinshelwood,29,70,Fairly Professional,5801,19.5,2036-06-30,69000.0,20.5,Italy (Serie A),Italian Serie A,2032-09-29,15.75,15,12,12,12,16,13,9,11,12,13,12,12,13,13,11,12,10,13,14,11,13,13,8,7,8,14,9,7,7,11,7,13,13,12,7,8,Inj,6.66,1 (15),Listed,- - -,16,1,Italy,542.0,26.73305954825462,2.2669404517453797,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tim Iroegbunam,31,72,Fairly Professional,5799,,2036-06-30,7250.0,,Netherlands (Keuken Kampioen Divisie),Keuken Kampioen Divisie,2033-07-18,0.85,12,11,12,14,11,12,14,8,12,10,12,13,13,14,13,13,14,13,12,12,15,14,11,10,6,13,5,12,5,10,7,12,14,13,7,8,,6.95,17 (1),Not set,- - -,18,0,Netherlands,542.0,29.532511978097194,1.4674880219028064,4.0,438.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alhassan Yusuf,34,69,Balanced,5789,0.0175,2035-06-30,2800.0,,Spain (Second Division),Spanish Second Division,2034-08-14,25.5,14,15,14,13,13,12,10,10,11,14,14,14,15,12,9,9,7,8,10,8,13,8,6,11,7,13,7,6,2,11,7,14,13,14,8,8,,6.92,16 (2),Not set,- - -,18,0,Spain,176.0,33.605749486652975,0.3942505133470226,3.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
