Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Italy,Country_Ivory Coast,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Dan Brown,27,72,Fairly Determined,5863,2.275,2036-06-30,27500.0,1.5,England (Sky Bet Championship),Sky Bet Championship,2034-01-31,1.0,14,14,17,9,13,13,9,11,8,13,10,15,13,15,13,14,13,13,14,13,14,12,5,6,7,12,14,8,1,12,7,13,14,11,6,6,,6.73,3 (23),Not set,- - -,26,0,England,542.0,26.071868583162217,0.9281314168377823,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mike Salmon-Stewart,26,66,Spirited,5857,13.5,2038-06-30,37000.0,5.0,Germany (Bundesliga),Bundesliga,2034-06-30,9.75,19,17,17,11,14,12,9,9,11,15,14,14,13,16,14,12,2,15,13,12,14,15,6,9,4,11,12,6,7,12,10,13,14,13,7,7,,6.82,17,Not set,- - -,17,0,Germany,1272.0,25.482546201232033,0.5174537987679672,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jairo Reyes,28,70,Balanced,5852,2.0,2037-12-31,20500.0,1.2,Brazil (First Division),Brazilian National First Division,2034-09-02,0.925,7,12,9,10,11,16,9,9,10,14,9,14,12,5,15,10,7,15,10,9,7,14,4,9,5,15,7,9,2,11,4,12,13,16,11,6,,-,-,Not set,- - -,0,0,Brazil,1091.0,27.65776865160849,0.34223134839151265,3.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomás Avilés,30,73,Fairly Ambitious,5842,34.0,2036-06-30,180000.0,6.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-01-17,11.5,13,15,11,13,14,14,7,12,9,14,12,14,12,13,14,14,13,13,13,13,16,15,6,12,7,14,13,8,8,14,7,15,12,15,10,7,,7.51,28,Not set,- - -,28,0,Saudi Arabia,542.0,28.034223134839152,1.9657768651608487,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Einar Óli Brynjarsson,23,70,Resolute,5841,2.0,2038-06-30,4600.0,1.9,Netherlands (Eredivisie),Eredivisie,2034-06-09,1.8,8,13,14,13,10,14,11,15,6,12,13,13,12,15,12,17,9,13,14,12,16,11,6,9,7,12,11,11,2,9,8,11,14,15,6,8,,6.72,8 (9),Not set,- - -,17,0,Netherlands,1272.0,22.42505133470226,0.5749486652977412,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eniss Shabani,31,71,Fairly Determined,5838,1.155,2035-06-30,9750.0,2.1,Spain (Second Division),Spanish Second Division,2033-03-29,1.9,14,12,12,13,12,12,13,7,13,12,12,14,12,15,14,14,12,12,13,12,14,13,11,10,6,12,8,11,3,11,10,12,14,13,7,9,Wnt,6.84,16,Not set,- - -,16,0,Spain,176.0,29.22861054072553,1.7713894592744694,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Flynn Downes,35,72,Perfectionist,5831,0.01,2035-06-30,10250.0,,Netherlands (Keuken Kampioen Divisie),Keuken Kampioen Divisie,2033-08-14,28.5,16,15,13,14,14,13,9,10,10,14,13,12,14,15,6,12,11,6,9,7,15,7,9,8,7,13,9,6,7,12,7,15,13,13,7,7,Ret,6.97,14 (4),Listed,- - -,18,1,Netherlands,176.0,33.60643394934976,1.3935660506502396,4.0,438.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Samson Tijani,32,69,Resolute,5810,4.3,2036-06-30,23000.0,13.25,Spain (First Division),Spanish First Division,2034-01-02,10.75,8,14,13,12,13,14,9,10,11,14,13,13,12,15,11,13,8,12,12,11,12,10,6,11,6,13,10,9,6,12,8,12,13,14,10,7,,6.64,15,Not set,- - -,15,0,Spain,542.0,30.99247091033539,1.0075290896646132,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Daniel Samek,30,72,Fairly Professional,5809,2.075,2036-06-30,5750.0,,Czechia (First Division),Czech First Division,2034-04-11,2.7,7,15,8,12,13,13,13,13,12,13,12,13,12,13,13,14,13,13,13,13,10,13,11,12,6,12,8,13,8,10,10,12,15,14,13,7,,7.56,23,Not set,- - -,23,0,Czechia,542.0,29.263518138261464,0.7364818617385352,4.0,483.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rony Jansson,30,72,Fairly Professional,5807,1.3025,2037-11-30,4700.0,0.325,Sweden (Premier Division),Swedish Premier Division,2033-11-19,0.975,8,12,12,12,12,12,7,16,11,13,12,11,12,13,12,12,14,13,12,12,13,13,5,9,6,12,9,8,4,11,7,9,12,12,8,7,,-,-,Not set,- - -,0,0,Sweden,1060.0,28.872005475701574,1.1279945242984257,4.0,484.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Josip Roškar,22,70,Resolute,5804,48.5,2036-06-30,78000.0,1.2,France (Ligue 2 BKT),Ligue 2 BKT,2032-09-09,1.8,14,14,7,13,10,16,6,10,13,15,14,15,12,15,13,12,6,13,14,10,14,15,8,10,8,14,15,10,5,12,8,12,14,13,5,5,Inj,6.88,11,Not set,- - -,11,0,France,542.0,19.678302532511978,2.321697467488022,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jack Hinshelwood,29,70,Fairly Professional,5801,19.5,2036-06-30,69000.0,20.5,Italy (Serie A),Italian Serie A,2032-09-29,15.75,15,12,12,12,16,13,9,11,12,13,12,12,13,13,11,12,10,13,14,11,13,13,8,7,8,14,9,7,7,11,7,13,13,12,7,8,Inj,6.66,1 (15),Listed,- - -,16,1,Italy,542.0,26.73305954825462,2.2669404517453797,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alhassan Yusuf,34,69,Balanced,5789,0.0175,2035-06-30,2800.0,,Spain (Second Division),Spanish Second Division,2034-08-14,25.5,14,15,14,13,13,12,10,10,11,14,14,14,15,12,9,9,7,8,10,8,13,8,6,11,7,13,7,6,2,11,7,14,13,14,8,8,,6.92,16 (2),Not set,- - -,18,0,Spain,176.0,33.605749486652975,0.3942505133470226,3.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pep Xumetra,21,73,Resolute,5788,56.0,2038-06-30,87000.0,25.0,Spain (First Division),Spanish First Division,2034-01-26,25.0,7,17,14,14,14,16,8,11,12,13,12,12,12,15,13,14,13,15,14,15,14,14,7,10,6,13,10,9,4,17,10,14,9,14,6,7,,6.70,2 (13),Not set,- - -,15,0,Spain,1272.0,20.058179329226558,0.9418206707734429,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Fayssal Harchaoui,28,70,Resolute,5784,7.3,2035-06-30,52000.0,1.9,Spain (First Division),Spanish First Division,2033-06-28,3.5,13,13,12,12,14,11,12,11,11,13,12,14,15,16,15,13,8,14,14,12,14,15,7,11,7,12,7,9,6,13,7,12,12,12,11,7,Inj,6.76,14,Not set,- - -,14,0,Spain,176.0,26.477754962354553,1.5222450376454484,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Pablo Maia,32,70,Balanced,5777,,2036-06-30,125000.0,26.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-10-07,35.0,11,16,13,13,15,13,12,10,12,17,14,15,16,13,13,11,8,11,12,12,16,10,5,11,8,14,10,12,7,16,10,14,13,14,11,9,,7.42,25,Not set,- - -,25,0,Saudi Arabia,542.0,31.753593429158112,0.2464065708418891,3.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Marley Leuluai,28,71,Fairly Determined,5773,0.77,2037-05-31,10750.0,0.875,Scotland (cinch Championship),cinch Championship,2035-01-01,0.725,9,12,10,10,14,13,5,17,7,15,8,12,10,15,7,11,13,11,12,15,14,12,3,3,1,8,9,4,3,12,4,14,4,7,4,3,,-,-,Not set,- - -,0,0,Scotland,877.0,27.98904859685147,0.010951403148528405,4.0,405.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Joaquín Mosqueira,30,71,Fairly Determined,5759,4.65,2035-12-31,21000.0,6.25,Brazil (First Division),Brazilian National First Division,2031-09-17,6.75,9,14,14,12,13,13,6,13,13,13,12,14,13,17,12,14,9,14,14,12,13,14,9,10,10,12,10,12,7,13,11,12,10,12,9,11,,-,-,Not set,- - -,0,0,Brazil,360.0,26.698151950718685,3.3018480492813143,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vladan Danilović,35,72,Balanced,5759,250.00175,2035-06-30,6500.0,,Bosnia & Herzegovina (Premier League),Bosnian Premier League,2033-08-11,1.1,12,13,13,12,15,12,12,9,12,12,12,12,13,13,7,11,13,7,9,10,12,8,5,4,11,12,11,9,3,13,8,14,11,12,8,7,,6.02,21,Not set,- - -,21,0,Bosnia & Herzegovina,176.0,33.59822039698837,1.4017796030116358,3.0,443.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gvidas Gineitis,30,74,Fairly Professional,5740,4.325,2035-06-30,28000.0,2.3,Russia (Premier League),Russian Premier League,2032-06-30,2.6,13,14,12,14,12,13,12,11,15,13,12,15,13,10,14,14,16,15,14,14,12,13,8,11,10,12,11,11,9,9,9,11,12,14,6,10,,7.35,17,Not set,- - -,17,0,Russia,176.0,27.4839151266256,2.516084873374401,4.0,454.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Kevin Ortiz,34,69,Balanced,5689,0.55,2036-06-30,17500.0,,England (Sky Bet Championship),Sky Bet Championship,2034-07-13,2.0,17,12,17,8,13,12,9,17,11,12,14,12,15,10,11,13,7,10,11,11,13,11,6,8,8,11,11,9,8,12,6,14,12,12,5,8,Wnt,6.71,9 (11),Not set,- - -,20,0,England,542.0,33.51813826146475,0.48186173853524983,3.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Islam Chergui,25,74,Fairly Determined,5683,1.265,2037-06-30,5500.0,,Spain (First Division),Spanish First Division,2033-07-01,1.1,19,14,17,13,11,13,11,15,11,12,8,15,11,15,13,16,17,11,13,13,15,13,4,8,7,14,6,9,1,7,5,8,15,13,1,6,Unh,6.70,4 (14),Not set,- - -,18,0,Spain,907.0,23.48596851471595,1.514031485284052,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Marco John,32,72,Spirited,5679,7.7,2036-06-30,29500.0,,Germany (Bundesliga),Bundesliga,2034-12-31,33.0,11,13,14,13,14,13,14,14,13,12,12,13,13,15,12,12,11,13,11,9,12,11,12,11,6,13,7,7,15,10,12,14,13,13,10,13,,7.13,15,Not set,- - -,15,0,Germany,542.0,31.98631074606434,0.013689253935660506,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Siaka Diarrassouba,19,72,Perfectionist,5664,48.5,2038-06-30,29000.0,8.5,Italy (Serie A),Italian Serie A,2034-01-31,7.0,15,14,17,12,11,13,9,3,14,13,12,12,12,16,14,11,11,15,15,13,15,16,8,9,9,12,13,10,4,11,12,16,16,13,6,8,,6.94,11 (4),Not set,- - -,15,0,Italy,1272.0,18.071868583162217,0.9281314168377823,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joris Chotard,33,70,Fairly Professional,5663,,2036-12-31,30500.0,1.6,Norway (Premier Division),Norwegian Premier Division,2034-12-25,13.25,13,15,14,14,16,15,13,10,12,14,15,13,16,13,14,15,12,14,13,15,15,14,8,10,5,13,10,6,5,12,8,14,15,15,6,9,,-,-,Not set,- - -,0,0,Norway,726.0,32.969883641341546,0.030116358658453114,4.0,487.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Enzo Barrenechea,33,73,Resolute,5661,7.1,2037-06-30,65000.0,23.5,Portugal (Premier League),Portuguese Premier League,2035-01-04,30.0,14,16,13,15,12,14,13,11,11,14,12,14,13,15,11,13,15,11,11,10,14,9,11,10,9,13,11,9,4,11,10,12,16,16,13,13,,6.93,8 (5),Not set,- - -,13,0,Portugal,907.0,32.997262149212865,0.0027378507871321013,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Matt O'Riley,34,74,Fairly Ambitious,5650,0.77,2036-06-30,8750.0,,Spain (First Division),Spanish First Division,2034-12-28,13.75,12,16,8,16,12,14,14,10,14,13,12,16,12,14,10,13,14,11,8,10,15,8,12,11,12,16,11,10,5,9,7,10,15,14,8,11,,6.59,1 (14),Not set,- - -,15,0,Spain,542.0,33.97809719370294,0.02190280629705681,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
César Araújo,33,70,Balanced,5648,,2036-12-31,4600.0,,U.S.A. (MLS),Major League Soccer,2034-12-14,11.5,13,15,12,13,12,13,13,14,12,12,14,13,13,14,11,13,8,7,9,8,14,9,12,9,8,13,9,14,5,12,12,12,15,15,7,13,,-,-,Not set,- - -,0,0,U.S.A.,726.0,32.93976728268309,0.06023271731690623,3.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Kristoffer Askildsen,33,75,Balanced,5643,0.115,2035-12-31,725.0,,Norway (First Division),Norwegian First Division,2034-03-22,4.2,13,12,12,11,14,12,13,12,12,13,12,11,13,13,7,10,14,8,10,9,13,8,3,7,9,11,10,11,3,12,5,11,10,12,9,4,,6.93,25,Not set,- - -,25,0,Norway,360.0,32.20876112251882,0.7912388774811773,3.0,441.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Federico Redondo,31,74,Fairly Ambitious,5638,7.8,2036-06-30,32000.0,,France (Ligue 2 BKT),Ligue 2 BKT,2034-07-01,12.75,12,13,11,11,13,12,12,13,15,12,12,13,14,4,13,13,13,13,13,12,15,12,10,9,12,14,12,12,5,13,9,12,12,16,5,9,,6.99,14 (2),Not set,- - -,16,0,France,542.0,30.485284052019164,0.5147159479808351,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Phillip Polter,26,72,Fickle,5618,48.0,2037-06-30,120000.0,34.5,Italy (Serie A),Italian Serie A,2031-05-12,27.0,11,14,15,14,13,15,16,6,13,13,11,18,12,15,16,16,14,14,16,13,15,15,5,12,12,15,10,10,4,11,7,9,16,15,3,7,Lst,7.11,22 (1),Listed,- - -,23,1,Italy,907.0,22.347707049965777,3.652292950034223,2.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Santiago Hezze,33,70,Fairly Professional,5611,4.15,2035-06-30,40500.0,,Spain (First Division),Spanish First Division,2034-06-11,3.4,15,14,14,11,14,14,11,12,12,14,16,13,17,13,14,12,8,12,12,9,16,10,5,10,9,13,10,9,5,14,8,14,13,12,7,7,,6.63,0 (15),Not set,- - -,15,0,Spain,176.0,32.43052703627652,0.5694729637234771,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Arley de Souza,26,73,Spirited,5611,13.25,2037-12-31,27000.0,3.0,Brazil (First Division),Brazilian National First Division,2034-02-01,2.7,16,13,15,11,12,10,5,10,9,11,12,12,13,16,16,12,13,13,15,14,14,14,4,9,4,12,6,3,10,12,7,9,14,10,5,4,,-,-,Not set,- - -,0,0,Brazil,1091.0,25.07460643394935,0.9253935660506503,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joseph Nduquidi,30,74,Fairly Determined,5603,10.65,2037-06-30,40500.0,4.6,Türkiye (Super League),Turkish Super League,2034-07-08,25.5,12,14,12,12,13,12,8,12,9,13,12,14,12,15,13,14,15,13,13,12,14,12,7,10,8,13,11,12,6,12,8,12,12,13,10,8,,6.98,21,Not set,- - -,21,0,Türkiye,907.0,29.50444900752909,0.49555099247091033,4.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Takashi Kida,26,69,Light-Hearted,5596,39.0,2037-06-30,51000.0,15.25,England (Sky Bet Championship),Sky Bet Championship,2034-08-16,31.5,7,13,8,16,12,18,9,14,13,13,8,15,8,14,12,12,5,13,13,11,11,13,4,10,6,15,9,11,4,12,6,8,14,12,7,6,Int,7.03,17 (1),Not set,- - -,18,0,England,907.0,25.61122518822724,0.3887748117727584,3.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tiago Dantas,34,67,Fairly Professional,5581,0.052,2035-06-30,5750.0,,Netherlands (Eredivisie),Eredivisie,2034-07-31,61.0,7,13,7,17,11,15,14,12,13,11,12,17,12,13,14,9,3,8,10,3,12,10,12,11,7,16,3,7,2,9,10,6,15,15,12,11,,6.78,9 (11),Not set,- - -,20,0,Netherlands,176.0,33.56741957563313,0.432580424366872,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senne Lynen,35,73,Balanced,5564,0.002,2035-06-30,16250.0,4.6,Spain (First Division),Spanish First Division,2033-01-04,5.25,16,16,14,11,14,12,10,14,12,14,15,12,15,14,6,10,12,5,8,5,14,6,11,5,7,12,9,7,11,12,11,13,12,13,9,9,Ret,-,-,Listed,- - -,0,1,Spain,176.0,32.998631074606436,2.001368925393566,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Felipe Silva,32,74,Fairly Determined,5547,1.2100000000000002,2036-12-31,10500.0,5.25,Brazil (Second Division),Brazilian National Second Division,2034-01-19,5.25,12,14,12,10,12,16,7,13,9,13,10,6,12,15,11,10,15,12,6,11,13,10,7,6,5,10,12,9,1,13,7,12,10,9,8,7,Wnt,-,-,Not set,- - -,0,0,Brazil,726.0,31.039014373716633,0.9609856262833676,4.0,446.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Francis Diallo,25,72,Resolute,5523,0.99,2038-06-30,17750.0,1.2,Germany (Bundesliga),Bundesliga,2034-07-19,0.975,10,13,11,11,12,13,6,9,11,12,12,13,12,15,16,15,13,13,17,14,17,14,3,8,7,10,11,5,1,12,7,10,13,10,7,5,Wnt,6.63,5 (6),Not set,- - -,11,0,Germany,1272.0,24.534565366187543,0.4654346338124572,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adeilson Rocha,26,69,Professional,5510,19.0,2039-06-30,78000.0,11.0,Italy (Serie A),Italian Serie A,2034-11-09,11.0,15,14,16,13,16,12,8,13,11,15,12,15,15,15,15,15,9,12,17,14,15,13,5,12,7,11,6,10,7,14,7,12,15,14,6,8,nEU,7.02,19,Not set,- - -,19,0,Italy,1637.0,25.84394250513347,0.15605749486652978,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lewis Hall,30,70,Fairly Determined,5500,1.2,2036-06-30,21000.0,,Germany (Bundesliga),Bundesliga,2034-07-01,31.0,10,12,14,15,14,12,9,10,10,9,12,12,14,15,8,12,7,13,12,11,14,14,9,9,8,12,6,11,7,8,12,12,12,12,14,14,Wnt,7.10,0 (2),By request,- - -,2,1,Germany,542.0,29.485284052019164,0.5147159479808351,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alessandro Bianco,32,69,Fairly Professional,5497,6.199999999999999,2035-06-30,88000.0,0.035,Italy (Serie A),Italian Serie A,2032-10-06,1.2,9,15,13,12,13,13,11,11,13,13,14,16,13,13,13,13,8,13,11,11,13,11,9,11,8,15,8,12,7,12,9,12,15,16,9,9,Wnt,7.04,16,Not set,- - -,16,0,Italy,176.0,29.752224503764545,2.2477754962354553,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordan Holsgrove,35,71,Fairly Professional,5490,0.305,2035-05-31,36500.0,2.5,Scotland (cinch Premiership),cinch Premiership,2033-09-01,2.6,8,13,10,17,12,13,12,14,12,13,12,16,12,13,5,13,10,7,9,6,16,6,11,8,8,15,6,12,5,8,11,11,16,16,12,11,Ret,6.53,9,Not set,- - -,9,0,Scotland,146.0,33.65571526351814,1.3442847364818618,4.0,486.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Tom Lacoux,32,72,Perfectionist,5483,0.8,2035-06-30,67000.0,34.0,England (Sky Bet Championship),Sky Bet Championship,2032-09-28,28.0,14,16,15,15,15,14,10,14,13,15,13,12,15,14,12,13,12,11,13,11,13,11,4,10,7,13,10,10,5,13,7,14,13,14,8,7,Wnt,6.54,2 (14),Listed,- - -,16,1,England,176.0,29.730321697467488,2.269678302532512,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yaya Sithole,35,74,Balanced,5480,0.01,2035-06-30,4000.0,0.11,Switzerland (Super League),Swiss Super League,2033-01-15,0.7,15,15,11,12,13,12,7,8,8,13,14,12,13,14,6,10,15,9,10,9,17,8,5,7,8,12,7,8,4,12,6,13,10,12,7,7,Ret,6.46,22,Not set,- - -,22,0,Switzerland,176.0,33.02874743326489,1.9712525667351128,3.0,482.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Joel Latibeaudiere,34,71,Perfectionist,5477,0.7375,2035-12-31,9500.0,2.2,U.S.A. (MLS),Major League Soccer,2033-07-16,6.0,16,14,17,11,16,13,8,14,11,12,17,11,16,18,9,11,12,7,12,9,13,9,4,9,6,11,14,6,3,12,4,13,11,11,7,8,,-,-,Not set,- - -,0,0,U.S.A.,360.0,32.52703627652293,1.4729637234770705,4.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Check Oumar Diakité,32,68,Fairly Determined,5472,0.35750000000000004,2036-06-30,2600.0,,Spain (Second Division),Spanish Second Division,2034-08-02,0.575,14,13,12,11,12,7,12,9,14,13,13,14,15,15,15,13,7,13,13,8,12,12,8,11,8,12,7,6,6,12,5,13,13,14,9,10,,6.87,18,Not set,- - -,18,0,Spain,542.0,31.572895277207394,0.4271047227926078,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
