Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_Eq. Guinea,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Ivory Coast,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_N.Ireland,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Tunisia,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_Venezuela,Country_nan
Jerónimo Russo,29,69,Resolute,5673,11.45,2036-12-31,33000.0,4.8,Brazil (First Division),Brazilian National First Division,2032-02-08,4.8,12,14,6,14,13,12,15,8,16,11,10,13,11,15,14,13,7,15,14,12,14,13,9,16,16,16,12,11,1,11,8,6,17,17,8,6,,-,-,Not set,- - -,0,0,Brazil,726.0,26.092402464065707,2.9075975359342916,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maurizio Bertoli,26,71,Spirited,4052,11.45,2038-06-30,35500.0,2.8,Germany (Bundesliga),Bundesliga,2034-02-07,2.8,13,13,16,9,14,13,12,11,11,14,16,12,17,15,14,16,12,14,14,12,14,14,4,11,6,10,8,10,9,12,4,12,9,11,5,12,Inj,7.00,8,Not set,- - -,8,0,Germany,1272.0,25.091033538672143,0.9089664613278576,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcondes,26,70,Fairly Determined,4129,11.45,2038-12-31,40000.0,16.5,Brazil (First Division),Brazilian National First Division,2034-12-24,13.5,13,14,8,13,9,15,14,17,16,9,12,12,10,15,15,15,9,14,13,12,14,16,8,13,13,13,8,7,1,7,7,4,15,14,6,12,,-,-,Not set,- - -,0,0,Brazil,1456.0,25.967145790554415,0.03285420944558522,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alexis Trouillet,34,69,Balanced,3972,11.45,2035-06-30,20500.0,19.0,Greece (Super League 1),Greek Super League 1,2034-01-01,14.5,9,15,9,13,13,12,15,13,13,12,12,16,13,13,10,10,7,9,11,6,10,10,10,12,10,15,10,10,5,11,13,11,16,14,9,12,,6.82,15 (2),Not set,- - -,17,0,Greece,176.0,32.98973305954826,1.0102669404517455,3.0,481.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Leonel Galván,27,70,Fairly Professional,3579,11.45,2037-12-31,23000.0,,Brazil (First Division),Brazilian National First Division,2033-01-21,1.2,15,13,14,15,10,14,17,8,12,8,11,10,12,7,14,17,9,12,11,12,13,14,9,14,14,16,15,11,7,7,11,7,12,10,5,10,,-,-,Not set,- - -,0,0,Brazil,1091.0,25.04517453798768,1.9548254620123204,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jesurun Rak-Sakyi,32,70,Fairly Professional,6618,10.45,2036-06-30,46000.0,6.5,England (Premier Division),English Premier Division,2034-08-02,14.5,7,13,7,11,8,10,15,8,12,7,11,11,12,12,16,13,8,14,11,10,11,15,10,13,12,12,7,8,3,6,11,7,13,10,10,12,,6.81,0 (13),Not set,- - -,13,0,England,542.0,31.572895277207394,0.4271047227926078,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Viery,30,74,Fairly Determined,4853,10.45,2037-12-31,23000.0,4.6,Brazil (First Division),Brazilian National First Division,2034-12-04,3.8,11,14,12,14,14,14,10,13,12,14,12,12,12,15,15,12,14,13,14,13,13,14,4,9,9,11,13,10,6,14,7,13,11,13,5,9,,-,-,Not set,- - -,0,0,Brazil,1091.0,29.912388774811774,0.08761122518822724,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mika Mármol,33,71,Resolute,8157,10.2,2035-06-30,105000.0,13.0,Italy (Serie A),Italian Serie A,2034-07-13,92.0,13,16,13,16,15,15,12,12,10,14,12,14,12,15,14,15,12,14,12,12,16,14,6,11,8,13,13,7,9,14,6,14,15,15,6,12,,7.00,8 (1),Not set,- - -,9,0,Italy,176.0,32.51813826146475,0.48186173853524983,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marius Broholm,30,68,Balanced,4484,10.2,2037-06-30,13500.0,,Netherlands (Eredivisie),Eredivisie,2034-07-22,7.25,14,13,11,10,14,13,14,6,10,11,11,14,12,14,15,13,7,13,12,8,12,14,11,13,10,12,4,11,1,6,9,4,12,13,11,12,Inj,7.15,24,Not set,- - -,24,0,Netherlands,907.0,29.54277891854894,0.45722108145106094,3.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marc Bombardó,29,74,Fairly Professional,4282,10.2,2037-06-30,30500.0,7.0,Spain (Second Division),Spanish Second Division,2034-08-20,7.0,14,12,13,11,13,13,10,11,10,15,12,11,12,14,14,13,13,14,12,12,15,14,5,9,6,11,12,7,7,13,6,13,11,12,6,9,,6.66,13,Not set,- - -,13,0,Spain,907.0,28.62217659137577,0.37782340862423,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Álvaro Vázquez,26,69,Fairly Determined,3594,11.35,2038-06-30,24000.0,1.5,Spain (First Division),Spanish First Division,2033-12-25,1.4,9,16,8,12,8,13,14,17,15,5,10,11,13,15,18,14,4,15,13,11,16,14,10,15,9,10,8,11,1,3,6,2,12,13,3,15,,7.01,19,Not set,- - -,19,0,Spain,1272.0,24.97056810403833,1.0294318959616702,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Agustín Giay,30,71,Balanced,4461,11.35,2036-06-30,23500.0,,Belgium (Jupiler Pro League),Jupiler Pro League,2033-07-01,27.0,13,14,14,15,15,12,11,12,12,11,13,14,13,12,14,12,12,12,13,10,11,13,7,11,9,13,10,8,12,13,5,14,14,14,9,11,,7.33,7 (3),Not set,- - -,10,0,Belgium,542.0,28.48596851471595,1.514031485284052,3.0,491.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luis Ayala,29,67,Balanced,5307,11.35,2037-12-31,24000.0,3.3,Brazil (First Division),Brazilian National First Division,2034-12-25,3.3,11,12,7,11,6,12,15,12,14,9,9,12,13,14,15,15,3,13,15,5,14,14,10,15,8,14,9,10,4,5,8,8,15,12,4,14,,-,-,Not set,- - -,0,0,Brazil,1091.0,28.969883641341546,0.030116358658453114,3.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Beyzad Boloğlu,20,73,Light-Hearted,3974,11.35,2038-06-30,26000.0,13.0,Türkiye (Super League),Turkish Super League,2034-01-14,10.0,7,9,9,10,7,9,15,5,14,4,10,9,14,17,19,12,11,15,13,13,15,14,7,12,5,15,6,4,2,2,5,2,14,8,6,13,,7.02,7 (15),Not set,- - -,22,0,Türkiye,1272.0,19.025325119780973,0.974674880219028,3.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Juan José Pérez,30,67,Balanced,5510,11.1,2036-12-31,30500.0,1.9,Argentina (Premier Division),Argentine Premier Division,2033-10-21,1.7,12,12,7,12,5,15,17,7,12,6,9,13,11,9,18,9,4,15,15,6,15,14,12,14,7,12,7,8,3,5,15,4,14,12,10,13,Wnt,-,-,Not set,- - -,0,0,Argentina,726.0,28.792607802874745,1.2073921971252566,3.0,490.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rodrigo Cezar,28,70,Spirited,4550,11.1,2036-12-31,30000.0,3.7,Brazil (First Division),Brazilian National First Division,2033-03-24,2.8,7,14,7,13,11,13,13,10,14,10,10,12,10,15,15,12,10,14,14,12,13,15,8,14,14,12,12,12,7,8,9,6,13,11,13,11,,-,-,Not set,- - -,0,0,Brazil,726.0,26.21492128678987,1.78507871321013,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Iván López,21,75,Determined,3763,11.1,2038-06-30,33000.0,4.6,England (Sky Bet League One),Sky Bet League One,2033-08-12,4.6,12,13,16,13,10,13,9,10,12,10,9,13,12,18,13,17,15,14,14,13,14,12,4,10,7,14,10,9,6,8,7,11,16,14,6,7,,7.01,26,Not set,- - -,26,0,England,1272.0,19.600958247775495,1.3990417522245038,4.0,433.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abbas Azar,25,72,Fairly Determined,4589,11.1,2039-06-30,28500.0,8.25,Italy (Serie A),Italian Serie A,2034-06-30,13.5,9,12,11,12,14,13,8,5,12,15,11,12,12,15,14,11,14,13,15,14,13,12,6,8,6,10,10,10,5,12,7,13,13,11,4,12,,6.91,16,Not set,- - -,16,0,Italy,1637.0,24.482546201232033,0.5174537987679672,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brandon Soppy,32,71,Balanced,6222,11.1,2035-06-30,49000.0,9.75,England (Premier Division),English Premier Division,2034-07-07,41.0,14,12,13,12,13,12,13,9,10,12,13,11,12,13,16,12,12,14,13,11,13,12,6,10,5,13,8,8,11,11,4,12,12,12,6,12,,6.60,21 (1),Not set,- - -,22,0,England,176.0,31.50171115674196,0.49828884325804246,3.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ilias Hoogendorp,26,70,Resolute,4124,11.1,2038-06-30,15000.0,3.4,Netherlands (Eredivisie),Eredivisie,2033-07-25,3.4,10,14,6,11,6,12,13,15,11,5,6,12,11,15,17,17,7,13,16,12,14,14,6,17,11,17,8,8,3,3,6,1,13,14,2,11,,6.80,26,Not set,- - -,26,0,Netherlands,1272.0,24.55167693360712,1.4483230663928817,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hayden Hackney,32,70,Fairly Determined,4598,11.1,2036-06-30,49500.0,9.0,England (Sky Bet Championship),Sky Bet Championship,2034-01-05,26.5,10,13,13,15,14,14,12,13,12,13,12,16,12,15,13,14,8,10,12,10,13,12,10,12,10,13,9,12,4,12,9,12,15,15,11,11,,7.10,25,Not set,- - -,25,0,England,542.0,31.000684462696782,0.999315537303217,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abílio,26,73,Resilient,6353,10.35,2036-12-31,15750.0,1.1,Brazil (First Division),Brazilian National First Division,2034-12-18,0.85,10,13,16,10,17,14,8,7,9,15,12,12,9,15,13,16,14,13,16,14,15,13,3,8,1,8,13,5,6,11,7,12,8,10,3,4,,-,-,Not set,- - -,0,0,Brazil,726.0,25.95071868583162,0.049281314168377825,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kadhim Naser,24,74,Professional,3643,10.1,2037-06-30,34500.0,4.1,Italy (Serie A),Italian Serie A,2031-12-05,3.8,8,12,11,12,14,13,4,12,10,13,8,9,12,15,14,16,15,15,16,13,15,14,5,9,8,8,10,7,6,12,6,13,12,12,3,6,Wnt,6.85,19,Not set,- - -,19,0,Italy,907.0,20.914442162902123,3.0855578370978782,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mattia Liberali,27,67,Resolute,4121,10.1,2038-06-30,32000.0,1.1,Spain (First Division),Spanish First Division,2034-07-30,15.25,7,14,13,13,10,12,15,9,16,5,9,13,8,15,16,11,6,14,12,10,15,15,10,14,9,15,10,11,5,5,9,4,15,13,7,12,,6.95,17,Not set,- - -,17,0,Spain,1272.0,26.564681724845997,0.4353182751540041,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jonathan Martínez,24,76,Determined,4637,10.1,2037-06-30,27000.0,8.25,Italy (Serie A),Italian Serie A,2032-08-18,6.75,17,13,17,12,16,14,6,6,9,14,14,11,12,19,13,17,17,11,14,14,11,14,5,5,4,10,12,2,4,12,4,13,7,10,6,1,nEU,6.87,25,Not set,- - -,25,0,Italy,907.0,21.61806981519507,2.3819301848049284,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sam Bell,32,69,Resolute,6300,10.1,2036-06-30,39500.0,9.25,England (Sky Bet Championship),Sky Bet Championship,2032-06-28,4.9,12,13,10,12,13,14,12,9,13,9,13,11,15,16,15,13,5,14,12,10,15,14,7,11,13,10,8,8,3,10,3,7,13,11,11,12,,7.13,4 (7),Not set,- - -,11,0,England,542.0,29.478439425051334,2.521560574948665,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alvise Del Re,23,71,Resolute,3578,10.1,2038-06-30,28500.0,7.0,Belgium (Jupiler Pro League),Jupiler Pro League,2034-01-31,7.0,8,14,10,18,7,14,17,9,14,6,7,11,12,15,15,13,11,15,13,12,15,15,5,12,16,15,5,8,1,4,9,1,15,11,7,8,,6.78,17,Not set,- - -,17,0,Belgium,1272.0,22.071868583162217,0.9281314168377823,4.0,491.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rodrigo Gomes,31,69,Fairly Determined,5173,10.1,2036-06-30,31500.0,13.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-04-05,11.75,13,12,15,8,11,9,14,9,12,8,12,14,15,15,15,9,6,14,12,7,13,15,8,12,9,13,8,8,10,8,10,9,13,11,6,10,,6.81,3 (10),Not set,- - -,13,0,France,542.0,30.247091033538673,0.7529089664613279,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Léo Mana,30,69,Fairly Determined,4491,9.85,2036-12-31,14750.0,3.7,Brazil (First Division),Brazilian National First Division,2034-04-05,3.7,15,12,10,11,13,13,8,15,14,12,12,12,12,15,16,13,7,14,13,12,13,14,10,12,8,14,7,10,10,11,9,9,12,12,8,11,,-,-,Not set,- - -,0,0,Brazil,726.0,29.247091033538673,0.7529089664613279,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facundo López,25,70,Resolute,4257,9.85,2038-06-30,22000.0,1.3,France (Ligue 2 BKT),Ligue 2 BKT,2033-07-01,8.75,13,13,17,9,16,13,7,10,8,13,14,9,13,15,14,15,6,15,17,13,13,16,4,11,1,12,7,5,3,13,1,12,11,9,2,10,Wnt,6.85,14,Not set,- - -,14,0,France,1272.0,23.48596851471595,1.514031485284052,4.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vanderlei Damous,25,64,Professional,4057,9.85,2037-12-31,33000.0,12.0,Brazil (First Division),Brazilian National First Division,2034-06-25,9.75,9,11,8,7,12,13,9,7,11,10,11,10,12,15,16,17,5,14,16,10,14,15,5,10,3,11,8,6,7,9,4,8,13,11,3,11,,-,-,Not set,- - -,0,0,Brazil,1091.0,24.468856947296374,0.5311430527036276,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Daniel Hegarty,19,71,Fairly Determined,1402,9.85,2038-06-30,9500.0,1.1,England (Premier Division),English Premier Division,2034-01-31,0.7,9,13,16,8,11,13,7,15,6,12,14,9,12,15,9,15,12,11,16,9,13,12,4,6,2,11,8,5,7,13,2,11,10,8,5,12,Inj,-,-,Not set,- - -,0,0,England,1272.0,18.071868583162217,0.9281314168377823,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mohamed-Ali Cho,30,72,Fairly Determined,5470,11.25,2036-06-30,41000.0,1.5,England (Sky Bet Championship),Sky Bet Championship,2034-08-31,32.5,6,12,12,13,12,12,12,10,12,11,10,12,10,15,15,13,13,15,14,12,13,15,8,13,12,16,11,9,4,8,8,8,13,12,9,11,,6.93,1 (15),Not set,- - -,16,0,England,542.0,29.652292950034223,0.34770704996577684,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matías Schulz,29,74,Fairly Determined,3915,11.0,2037-06-30,11500.0,0.55,Belgium (Jupiler Pro League),Jupiler Pro League,2034-04-11,0.825,10,13,11,9,13,16,6,12,5,15,10,8,10,16,14,13,16,15,9,14,15,13,2,4,4,6,12,5,1,13,1,13,8,7,4,5,,7.01,21,Not set,- - -,21,0,Belgium,907.0,28.263518138261464,0.7364818617385352,4.0,491.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Callum Jones,25,67,Light-Hearted,3542,11.0,2036-06-30,14750.0,3.3,England (Sky Bet Championship),Sky Bet Championship,2033-09-01,2.5,10,13,14,10,5,11,14,14,10,6,10,13,11,15,16,17,4,14,13,7,14,15,5,15,10,15,7,8,2,5,5,4,13,8,7,14,Ask,6.70,2 (15),Not set,- - -,17,0,England,542.0,23.65571526351814,1.3442847364818618,3.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ivan Ilić,33,72,Professional,8078,11.0,2036-06-30,82000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-01,22.0,10,16,12,15,13,13,14,10,14,12,15,15,12,15,12,14,12,14,12,11,16,11,13,11,11,15,8,12,8,10,11,13,16,16,11,14,,7.00,8 (14),Not set,- - -,22,0,France,542.0,32.48528405201917,0.5147159479808351,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paulo Ricardo,26,71,Resolute,3688,11.0,2038-12-31,11250.0,2.0,Brazil (First Division),Brazilian National First Division,2034-12-23,1.8,6,12,7,15,7,13,16,12,14,6,13,12,11,15,14,16,12,12,14,12,15,13,10,16,8,14,9,11,3,9,13,5,16,15,6,7,,-,-,Not set,- - -,0,0,Brazil,1456.0,25.964407939767284,0.03559206023271732,4.0,493.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Veton Sadiku,25,70,Fairly Professional,5187,10.75,2037-06-30,12000.0,1.1,Netherlands (Eredivisie),Eredivisie,2034-01-31,1.0,6,13,10,11,9,12,16,14,13,10,12,11,15,14,19,12,3,14,15,12,15,13,8,12,9,13,6,11,6,9,5,5,15,9,1,14,,7.19,17,Not set,- - -,17,0,Netherlands,907.0,24.071868583162217,0.9281314168377823,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paulinho,29,69,Fairly Determined,3730,10.75,2036-06-30,30000.0,6.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-06-29,6.0,10,15,13,13,14,12,13,12,14,11,12,13,9,15,16,13,6,15,14,12,14,14,6,12,6,13,10,10,11,14,3,11,12,10,2,11,,7.01,16,Not set,- - -,16,0,France,542.0,26.481177275838466,2.518822724161533,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luis Miguel Ángulo,30,69,Fairly Determined,5663,10.75,2036-12-31,36000.0,0.875,Argentina (Premier Division),Argentine Premier Division,2033-01-19,0.925,8,13,11,12,12,12,14,12,15,8,11,12,12,15,17,13,3,13,14,12,14,15,12,13,10,14,7,13,7,10,6,10,13,12,2,15,,-,-,Not set,- - -,0,0,Argentina,726.0,28.039698836413415,1.9603011635865846,4.0,490.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
