Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Cmd,Pun,TRO,Han,Thr,Ecc,Ref,Kic,1v1,Com,Aer,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Dri,Fir,Hea,Mar,Tck,Tec,Pas,Av Rat,Apps,Transfer Status,Inf,xGP/90,xGP,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_China,Country_Denmark,Country_England,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Norway,Country_Portugal,Country_Qatar,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_Spain,Country_Sweden,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_nan
Masato Sasaki,32,73,Balanced,6496,3.65,2036-06-30,17250.0,2.8,Netherlands (Eredivisie),Eredivisie,2032-06-30,2.8,15,5,9,14,15,5,12,13,15,13,15,11,10,13,15,10,13,3,5,1,13,7,3,6,8,15,6,8,12,3,6,14,11,1,2,1,3,2,3,12,6.59,19,Not set,,-0.13,-2.41,- - -,19,0,Netherlands,542.0,29.4839151266256,2.516084873374401,3.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Santiago Beltrán,30,75,Balanced,2806,3.6,2036-12-31,3500.0,0.65,Argentina (Second Division),Argentine Second Division,2034-04-01,0.525,13,12,12,13,14,5,12,12,14,13,15,14,13,11,11,13,16,2,12,1,13,10,10,8,5,12,7,15,9,7,5,9,6,1,9,2,2,2,9,7,-,-,Not set,,-,-,- - -,0,0,Argentina,726.0,29.236139630390145,0.7638603696098563,3.0,439.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luka Veličković,29,76,Fairly Professional,5803,3.6,2037-06-30,23000.0,0.75,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-06-18,1.2,14,11,10,11,14,10,12,11,14,13,17,10,12,11,11,12,11,12,9,6,11,9,9,9,13,13,12,15,11,12,12,18,13,3,9,3,3,2,11,10,7.08,3 (2),Not set,,0.05,0.19,- - -,5,0,France,907.0,27.45037645448323,1.5496235455167693,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ivor Pandur,34,74,Fairly Professional,5783,3.3,2035-06-30,42000.0,1.4,Spain (Second Division),Spanish Second Division,2034-09-01,27.5,14,14,11,14,16,8,13,12,14,13,15,8,13,13,12,13,12,6,15,4,15,11,13,12,14,12,10,16,9,7,9,15,9,1,7,4,3,3,9,12,6.86,13,Not set,,-0.53,-6.44,- - -,13,0,Spain,176.0,33.65503080082136,0.34496919917864477,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Marcel Mendes-Dudziński,29,76,Fairly Professional,3626,3.2,2037-06-30,12250.0,1.3,England (Sky Bet Championship),Sky Bet Championship,2034-08-07,2.0,13,10,8,12,14,14,12,12,13,13,16,10,15,10,11,12,11,11,10,6,12,10,13,11,13,13,14,17,9,12,14,16,11,3,11,5,3,3,11,13,6.60,5 (2),Not set,ESC,-0.33,-1.84,- - -,7,0,England,907.0,28.586584531143053,0.4134154688569473,4.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eliser Sevillano,24,73,Mercenary,2728,3.05,2038-06-30,9500.0,0.7,England (Premier Division),English Premier Division,2035-01-01,1.5,14,7,7,13,12,9,13,12,13,13,14,12,12,7,9,12,13,1,8,2,14,10,17,7,15,14,13,14,7,13,12,10,9,3,6,1,1,2,8,9,-,-,Not set,Inj,-,-,- - -,0,0,England,1272.0,23.98904859685147,0.010951403148528405,2.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yannick Pandor,33,76,Fairly Determined,2998,2.7,2035-06-30,4200.0,1.4,France (Ligue 2 BKT),Ligue 2 BKT,2034-07-05,2.4,12,8,10,11,12,8,14,12,14,12,15,8,13,12,9,13,13,2,12,2,13,11,12,10,15,10,10,14,7,2,5,14,9,1,12,1,2,2,11,13,6.65,15,Not set,,-0.19,-2.52,- - -,15,0,France,176.0,32.49623545516769,0.5037645448323066,4.0,450.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luca Unbehaun,33,73,Resolute,4523,2.6,2036-06-30,18250.0,1.0,Germany (Bundesliga 2),Bundesliga 2,2034-08-22,1.2,15,11,13,9,14,13,12,14,14,16,13,12,13,11,14,12,12,5,9,2,9,10,9,11,15,12,10,14,7,9,9,10,10,2,10,7,3,3,12,13,6.85,14,Not set,,-0.25,-3.54,- - -,14,0,Germany,542.0,32.62765229295003,0.3723477070499658,4.0,464.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matheus Donelli,32,74,Fairly Determined,3248,2.5,2035-12-31,9750.0,1.9,Brazil (First Division),Brazilian National First Division,2033-07-21,1.9,11,13,12,13,12,5,14,10,11,11,14,9,15,11,12,13,13,2,10,1,12,12,10,11,15,13,12,16,10,10,9,10,11,3,11,1,3,3,11,12,-,-,Not set,,-,-,- - -,0,0,Brazil,360.0,30.54072553045859,1.45927446954141,4.0,493.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wim Vanmarsenille,32,74,Fairly Determined,2946,2.5,2036-06-30,6000.0,3.6,Netherlands (Eredivisie),Eredivisie,2032-02-02,3.0,11,5,12,12,11,5,15,14,16,11,12,6,12,12,13,11,17,3,5,3,10,11,12,10,16,10,13,15,10,5,11,12,11,1,9,2,2,1,14,15,6.91,18 (1),Not set,,0.54,10.39,- - -,19,0,Netherlands,542.0,29.075975359342916,2.924024640657084,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cezary Miszta,33,76,Resolute,3582,2.25,2036-06-30,41500.0,1.8,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-09-01,8.0,12,7,13,14,14,5,12,12,13,12,15,6,14,13,9,15,12,3,9,8,13,11,7,13,15,13,12,16,10,11,11,14,9,2,11,6,3,1,10,13,7.10,1 (1),Not set,Wnt,0.19,0.30,- - -,2,0,France,542.0,31.65571526351814,1.3442847364818618,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kauã Santos,31,77,Fairly Ambitious,5125,2.2,2037-06-30,27500.0,2.4,Germany (Bundesliga),Bundesliga,2033-01-31,4.5,12,8,14,12,14,10,13,12,15,13,16,11,13,12,13,13,14,6,13,2,15,9,11,11,14,14,11,18,8,10,11,13,8,2,8,6,1,1,7,11,-,-,Not set,Wnt,-,-,- - -,0,0,Germany,907.0,29.072553045859,1.9274469541409993,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Louis Babatz,28,74,Spirited,3960,5.1000000000000005,2036-06-30,19750.0,5.0,Germany (Bundesliga),Bundesliga,2032-07-25,4.1,13,8,12,12,14,7,14,13,15,12,15,7,11,13,13,13,11,5,10,2,14,10,11,10,15,14,13,17,9,11,14,14,11,3,10,5,3,2,9,13,7.20,4,Not set,,0.28,1.12,- - -,4,0,Germany,542.0,25.5523613963039,2.4476386036960984,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arthur Okonkwo,33,78,Balanced,4593,3.0999999999999996,2036-06-30,35000.0,10.5,England (Sky Bet Championship),Sky Bet Championship,2033-03-27,15.5,15,7,9,13,13,9,16,12,16,11,18,7,12,12,10,12,12,2,6,2,13,12,7,9,12,13,14,17,10,11,14,16,8,3,8,7,1,3,6,10,6.10,1,Not set,,-,-1.06,- - -,1,0,England,542.0,31.223134839151268,1.7768651608487338,3.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcin Bułka,35,78,Spirited,7745,1.4,2035-06-30,87000.0,,Italy (Serie A),Italian Serie A,2034-06-04,1.7,12,14,11,13,15,11,13,13,17,14,19,9,13,13,12,13,12,2,16,2,15,12,14,11,15,11,15,17,7,4,11,15,10,3,9,1,2,1,9,12,6.40,5,Listed,Bid,-1.02,-4.28,- - -,5,1,Italy,176.0,34.4113620807666,0.5886379192334018,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Robeiro Largo,24,73,Fairly Professional,4234,3.0,2037-12-31,18500.0,1.1,Argentina (Premier Division),Argentine Premier Division,2034-06-04,0.925,15,10,13,14,16,5,11,14,15,13,16,7,15,14,12,14,14,3,15,3,11,11,14,8,14,15,13,16,7,9,13,13,10,3,7,1,3,2,6,11,-,-,Not set,Wnt,-,-,- - -,0,0,Argentina,1091.0,23.411362080766597,0.5886379192334018,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcel Lotka,33,75,Resolute,5932,2.9499999999999997,2035-06-30,48500.0,19.25,Germany (Bundesliga),Bundesliga,2034-01-08,24.0,13,11,16,12,14,10,16,13,16,14,14,15,14,15,13,14,12,5,14,3,13,11,11,12,16,13,12,16,7,9,11,13,8,2,8,6,1,1,9,13,6.96,17,Not set,Bid,0.15,2.63,- - -,17,0,Germany,176.0,32.00889801505818,0.9911019849418207,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Karl Jakob Hein,32,76,Resolute,4938,4.5,2036-06-30,41500.0,5.5,Belgium (Jupiler Pro League),Jupiler Pro League,2033-07-01,12.75,11,11,9,13,13,4,14,14,15,12,16,13,12,13,11,13,12,6,8,3,13,12,11,10,15,12,9,16,9,9,12,11,10,3,10,1,2,3,7,9,6.85,22,Not set,,0.15,2.85,- - -,22,0,Belgium,542.0,30.48596851471595,1.514031485284052,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marco Carnesecchi,34,75,Professional,7111,4.1,2035-06-30,450000.0,,England (Premier Division),English Premier Division,2033-04-15,36.0,16,13,13,15,14,10,15,9,17,16,15,9,14,12,13,16,15,7,13,7,16,12,12,13,15,13,13,15,9,11,12,15,11,3,11,4,2,1,9,10,6.90,1,Not set,Wnt,0.53,0.53,- - -,1,0,England,176.0,32.275154004106774,1.7248459958932238,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matteo Mangiatini,26,73,Resolute,4032,2.9,2039-06-30,30000.0,2.7,Germany (Bundesliga),Bundesliga,2034-07-11,3.6,12,15,11,13,10,1,14,10,15,12,14,6,12,15,12,12,14,2,12,2,13,14,10,13,15,15,12,14,10,12,10,12,10,1,9,1,2,3,10,12,6.91,19,Not set,,0.57,10.76,- - -,19,0,Germany,1637.0,25.512662559890487,0.487337440109514,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Miguel Acosta,33,77,Fairly Determined,5540,4.0,2035-12-31,27500.0,4.4,Brazil (First Division),Brazilian National First Division,2032-03-31,3.5,12,5,14,14,13,5,12,12,13,12,17,15,12,16,10,12,15,1,2,3,12,9,10,8,17,11,9,15,12,8,7,13,14,3,12,1,1,1,6,13,-,-,Not set,Wnt,-,-,- - -,0,0,Brazil,360.0,30.234770704996578,2.7652292950034223,4.0,493.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Doğan Alemdar,32,76,Balanced,3403,2.65,2036-06-30,9500.0,0.23,Türkiye (Super League),Turkish Super League,2031-07-17,3.2,13,12,11,12,13,7,13,13,14,12,16,8,12,13,13,13,10,7,9,8,12,13,7,15,7,13,14,16,11,13,15,12,10,2,8,2,1,2,10,10,6.96,26,Not set,,0.27,6.80,- - -,26,0,Türkiye,542.0,28.528405201916495,3.4715947980835042,3.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Illia Voloshyn,27,80,Balanced,4705,2.6,2036-06-30,80000.0,,Spain (First Division),Spanish First Division,2032-11-27,1.2,13,8,8,13,15,14,14,15,15,13,19,9,11,15,11,11,14,14,12,3,13,7,14,8,11,10,12,17,12,11,10,12,13,1,11,1,1,3,6,13,6.52,18,Not set,,0.18,3.35,- - -,18,0,Spain,542.0,24.894592744695416,2.105407255304586,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Timon Vanhoutte,30,74,Fairly Determined,3714,1.55,2036-06-30,7250.0,2.2,France (Ligue 2 BKT),Ligue 2 BKT,2034-01-11,1.7,13,8,10,12,12,5,13,12,14,10,13,13,14,11,12,12,13,3,6,3,13,9,12,10,16,17,12,16,11,6,9,11,12,2,8,1,2,3,4,12,6.17,2 (1),Not set,,-1.10,-2.02,- - -,3,0,France,542.0,29.017111567419576,0.9828884325804244,4.0,450.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nahuel Manganelli,33,72,Balanced,3356,1.55,2035-12-31,4100.0,1.2,Argentina (Metropolitan Zone B),Argentine Metropolitan B Zone,2033-12-27,1.1,13,15,13,11,13,14,13,11,13,12,11,5,12,7,13,12,16,1,14,2,16,10,12,9,9,10,9,13,7,2,5,12,8,2,5,1,1,2,5,12,-,-,Not set,,-,-,- - -,0,0,Argentina,360.0,31.976043805612594,1.0239561943874058,3.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mike Penders,29,79,Balanced,2998,1.5,2036-06-30,15000.0,0.875,Germany (Bundesliga),Bundesliga,2032-07-16,0.775,12,8,11,10,13,5,12,12,12,12,17,14,12,11,12,12,17,1,10,3,12,8,11,9,10,11,12,17,8,10,9,11,9,3,9,8,1,2,10,13,6.60,4 (2),Not set,,-0.04,-0.23,- - -,6,0,Germany,542.0,26.527720739219713,2.4722792607802875,3.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zach Duncan,26,74,Fickle,5141,3.775,2038-12-31,9500.0,20.5,U.S.A. (MLS),Major League Soccer,2034-07-17,16.0,13,10,7,12,12,6,15,15,12,13,12,10,13,10,11,14,12,2,8,2,14,7,9,12,12,14,10,14,10,11,12,15,9,1,9,1,3,1,11,11,-,-,Not set,Wnt,-,-,- - -,0,0,U.S.A.,1456.0,25.529089664613277,0.47091033538672145,2.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sergio Losada,25,73,Resolute,3403,0.95,2036-06-30,27000.0,7.25,France (R1 - Paris IDF - A),French Regional 1 - Paris Ile de France - Group A,2031-06-27,4.4,13,9,11,9,12,9,14,7,13,11,15,7,14,10,13,11,13,2,11,1,11,6,11,8,15,15,17,14,8,10,9,8,7,2,5,1,1,2,6,12,7.14,7,By request,Ask,0.07,0.46,- - -,7,1,France,542.0,21.473648186173854,3.5263518138261465,4.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Luca Podlech,29,78,Resolute,4630,1.4,2035-06-30,24000.0,2.3,France (Ligue 2 BKT),Ligue 2 BKT,2031-12-27,2.0,14,8,8,13,13,7,13,11,14,13,19,12,11,12,12,13,12,5,9,2,14,9,10,10,16,14,13,17,8,10,12,15,8,1,9,6,1,1,8,9,6.74,18,Not set,,-0.10,-1.72,- - -,18,0,France,176.0,25.974674880219027,3.025325119780972,4.0,450.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ted Curd,28,74,Fairly Professional,3258,1.35,2035-06-30,14000.0,0.85,England (Sky Bet Championship),Sky Bet Championship,2032-06-30,2.4,13,5,10,14,14,2,13,13,13,16,16,8,14,14,14,13,15,3,13,1,12,9,12,9,8,12,13,17,8,10,11,15,8,1,8,1,3,3,6,13,6.47,27,Not set,,-0.20,-5.14,- - -,27,0,England,176.0,25.4839151266256,2.516084873374401,4.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Murray Johnson,30,74,Fairly Professional,3154,1.35,2035-06-30,44500.0,1.2,England (Premier Division),English Premier Division,2031-09-01,1.1,14,8,11,12,14,7,15,14,15,13,16,5,12,13,9,7,17,3,10,2,11,6,12,7,7,11,10,15,12,10,9,15,12,1,5,1,3,3,9,12,-,-,Listed,Bid,-,-,- - -,0,1,England,176.0,26.654346338124572,3.345653661875428,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Magne Næss,24,73,Driven,2683,1.325,2036-11-30,4600.0,0.8,Sweden (Premier Division),Swedish Premier Division,2034-02-15,0.625,12,8,10,14,12,2,13,13,13,13,15,13,12,14,12,13,14,1,14,3,13,8,8,10,18,13,15,15,5,11,13,12,11,1,7,1,2,2,6,12,-,-,Not set,Bid,-,-,- - -,0,0,Sweden,695.0,23.1129363449692,0.8870636550308009,4.0,484.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Jules Stawiecki,27,75,Determined,2386,1.275,2036-06-30,3900.0,,France (Ligue 2 BKT),Ligue 2 BKT,2032-12-21,0.85,10,14,11,11,12,5,14,12,12,8,16,15,12,15,9,12,13,1,8,1,12,7,6,7,18,11,12,18,11,7,11,11,11,2,7,1,1,3,7,11,6.79,16,Not set,Wnt,0.08,1.22,- - -,16,0,France,542.0,24.960301163586585,2.0396988364134154,4.0,450.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nico Malcolm,26,79,Resolute,5423,1.2000000000000002,2038-06-30,19000.0,0.55,Italy (Serie A),Italian Serie A,2033-07-01,0.8,13,8,10,12,14,4,12,11,17,11,19,11,14,15,11,13,14,1,7,2,14,5,15,7,15,14,15,17,8,9,10,12,7,3,8,1,1,3,8,10,6.63,4 (2),Not set,nEU,-0.20,-0.90,- - -,6,0,Italy,1272.0,24.48596851471595,1.514031485284052,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diogo Pinto,30,77,Fairly Determined,4806,3.275,2039-06-30,47000.0,10.5,Italy (Serie A),Italian Serie A,2034-12-18,11.25,14,7,7,13,14,6,12,13,15,13,16,9,14,13,13,16,13,1,12,3,15,11,14,12,15,13,11,17,9,9,13,12,9,3,9,7,3,1,8,11,6.50,16,Not set,,0.11,1.76,- - -,16,0,Italy,1637.0,29.95071868583162,0.049281314168377825,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Almir Halilović,24,74,Fickle,5561,3.95,2039-06-30,24000.0,2.8,England (Premier Division),English Premier Division,2034-06-24,2.4,13,8,8,13,13,2,12,9,15,13,13,13,13,13,8,13,14,2,7,1,14,12,8,10,12,14,11,13,11,11,12,12,13,3,6,1,2,2,6,10,6.38,16,Not set,,-0.12,-1.94,- - -,16,0,England,1637.0,23.46611909650924,0.5338809034907598,2.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Filip Andersen,26,74,Resolute,3440,2.2,2036-06-30,25500.0,1.1,England (Premier Division),English Premier Division,2033-09-01,8.75,10,11,14,14,12,1,12,12,15,13,16,6,13,12,11,11,13,3,16,1,14,7,20,6,15,16,11,16,8,8,13,17,11,2,7,1,1,2,11,11,6.32,22,Not set,,0.11,2.20,- - -,22,0,England,542.0,24.65571526351814,1.3442847364818618,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mihai Gache,26,74,Perfectionist,4833,1.0499999999999998,2036-06-30,8250.0,0.175,Germany (Bundesliga 2),Bundesliga 2,2033-07-15,0.875,11,12,9,13,13,5,15,10,13,13,12,10,13,14,12,14,13,1,7,2,15,4,9,6,18,16,15,16,6,9,12,17,7,2,7,1,1,3,8,10,6.51,18,Not set,,0.08,1.35,- - -,18,0,Germany,542.0,24.524298425735797,1.4757015742642026,4.0,464.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oliwier Zych,30,76,Resolute,3933,3.725,2036-06-30,29000.0,1.5,England (Sky Bet Championship),Sky Bet Championship,2033-12-07,1.6,13,13,5,13,14,5,11,12,14,10,15,5,14,15,12,12,11,3,11,2,13,9,9,9,15,13,7,16,11,7,14,12,10,2,3,1,3,3,6,13,6.40,12 (2),Not set,,-0.52,-6.99,- - -,14,0,England,542.0,28.921286789869953,1.0787132101300478,4.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alessandro Plizzari,34,75,Fairly Determined,4608,3.4250000000000003,2035-06-30,15250.0,2.7,Spain (First Division),Spanish First Division,2034-06-30,9.25,14,11,13,12,13,7,16,12,17,16,16,10,15,11,15,11,12,3,10,5,14,11,12,12,15,13,8,16,10,10,8,12,11,1,10,7,2,1,8,11,6.75,24,Not set,,-0.03,-0.58,- - -,24,0,Spain,176.0,33.48254620123203,0.5174537987679672,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Macaulay McGinley,26,74,Model Professional,2817,0.9750000000000001,2038-06-30,57000.0,1.1,England (Premier Division),English Premier Division,2034-06-11,2.1,13,9,11,14,13,4,14,11,13,13,16,12,13,9,9,13,12,2,7,2,13,6,12,8,18,16,12,18,9,11,12,8,13,2,9,1,1,3,8,11,-,-,Not set,,-,-,- - -,0,0,England,1272.0,25.430527036276523,0.5694729637234771,5.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Calvin Raatsie,32,74,Fairly Professional,3971,0.9750000000000001,2035-06-30,11750.0,1.5,Netherlands (Eredivisie),Eredivisie,2032-03-19,2.1,12,8,7,12,11,14,14,12,15,12,16,5,13,12,14,15,8,8,11,1,15,11,11,11,14,13,8,16,15,8,11,12,16,2,6,5,1,2,12,13,6.74,6 (1),Not set,,0.44,2.69,- - -,7,0,Netherlands,176.0,29.201916495550993,2.7980835044490076,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Nediljko Labrović,35,77,Balanced,6137,3.4,2036-06-30,63000.0,25.0,England (Sky Bet Championship),Sky Bet Championship,2033-08-15,22.5,13,18,9,12,13,6,16,11,15,15,14,10,16,14,12,13,11,4,17,3,15,13,8,8,12,12,12,16,9,8,10,13,7,3,7,4,1,2,5,9,7.30,0 (1),Not set,Wnt,-,0.95,- - -,1,0,England,542.0,33.60917180013689,1.3908281998631074,3.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jonas Krumrey,31,76,Resolute,4804,0.8999999999999999,2036-06-30,7750.0,0.85,Austria (Premier Division),Austrian Premier Division,2033-01-10,0.725,11,8,12,11,12,7,12,10,12,10,16,8,11,14,12,11,10,4,7,2,14,11,10,12,15,12,13,16,10,13,14,13,12,2,9,5,2,3,8,9,7.15,16,Not set,,0.00,0.00,- - -,16,0,Austria,542.0,29.015058179329227,1.9849418206707734,4.0,488.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Franz Stolz,33,76,Balanced,4077,0.875,2036-06-30,8750.0,,Austria (Premier Division),Austrian Premier Division,2032-07-06,0.6,8,7,7,13,9,5,12,11,11,9,14,7,9,14,9,12,12,3,11,2,12,7,7,6,6,14,6,14,9,3,7,13,10,3,4,7,1,1,4,10,6.99,17 (1),Not set,,-0.05,-0.83,- - -,18,0,Austria,542.0,30.50034223134839,2.4996577686516086,3.0,488.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Taishi Brandon Nozawa,32,76,Fairly Determined,6065,0.8250000000000001,2037-06-30,17750.0,1.1,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-05,0.875,13,13,6,15,13,5,14,6,14,12,15,6,10,14,7,12,15,2,12,3,9,7,10,5,16,8,8,14,12,2,8,7,11,3,5,1,3,3,3,10,6.30,1,Not set,,-0.58,-0.58,- - -,1,0,France,907.0,31.496235455167692,0.5037645448323066,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diego Kochen,28,74,Fairly Professional,4979,3.45,2037-12-31,8750.0,0.8,U.S.A. (MLS),Major League Soccer,2032-12-13,0.65,13,12,14,12,14,6,13,12,14,13,14,9,13,12,12,11,13,9,13,2,12,7,11,9,14,12,12,15,9,8,11,15,11,1,11,5,1,3,8,11,-,-,Not set,Wnt,-,-,- - -,0,0,U.S.A.,1091.0,25.93839835728953,2.0616016427104724,4.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Giannis Vamvakousis,26,73,Balanced,4355,1.7875,2037-06-30,6000.0,0.625,Qatar (Stars League),Qatar Stars League,2034-07-08,0.625,16,5,14,13,10,6,13,13,12,10,13,7,12,9,9,10,13,2,6,2,13,10,9,10,14,15,14,13,9,10,11,13,9,2,6,1,3,2,8,8,7.12,10,Not set,Int,0.04,0.37,- - -,10,0,Qatar,907.0,25.50444900752909,0.49555099247091033,3.0,472.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Edoardo Corvi,33,72,Resolute,4018,2.725,2036-06-30,21500.0,2.5,Italy (Serie B),Italian Serie B,2034-12-26,2.2,13,8,14,13,14,12,13,15,15,13,14,12,14,13,11,10,12,12,9,9,14,11,16,11,16,11,9,14,11,9,9,11,9,2,12,6,1,3,12,12,7.31,20,Not set,,0.57,11.50,- - -,20,0,Italy,542.0,32.97262149212868,0.02737850787132101,4.0,462.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
